Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2005,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Poljoprivredni proizvodi,78.11705
2010,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Poljoprivredni proizvodi,86.55545
2015,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Poljoprivredni proizvodi,77.26098
2016,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Poljoprivredni proizvodi,72.09544
2017,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Poljoprivredni proizvodi,80.38654
2018,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Poljoprivredni proizvodi,80.10167
2019,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Poljoprivredni proizvodi,78.26421
2020,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Poljoprivredni proizvodi,78.38638
2021,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Poljoprivredni proizvodi,77.4627
2005,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Bez podjele,80.36611
2010,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Bez podjele,77.00822
2015,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Bez podjele,72.14442
2016,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Bez podjele,62.6327
2017,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Bez podjele,71.74151
2018,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Bez podjele,71.94006
2019,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Bez podjele,68.96074
2020,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Bez podjele,69.52374
2021,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Bez podjele,68.9646
2005,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Oružje,84.375
2010,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Oružje,100.0
2015,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Oružje,66.66667
2016,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Oružje,68.42105
2017,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Oružje,72.22222
2018,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Oružje,72.22222
2019,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Oružje,81.48148
2020,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Oružje,82.22222
2021,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Oružje,75.5556
2005,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Odjeća,49.75369
2010,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Odjeća,39.92188
2015,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Odjeća,42.10526
2016,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Odjeća,33.31467
2017,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Odjeća,44.23565
2018,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Odjeća,45.09502
2019,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Odjeća,41.31455
2020,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Odjeća,43.83627
2005,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Industrijski proizvodi,85.44423
2010,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Industrijski proizvodi,82.15344
2015,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Industrijski proizvodi,78.20907
2016,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Industrijski proizvodi,69.63315
2017,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Industrijski proizvodi,75.68703
2018,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Industrijski proizvodi,75.75446
2019,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Industrijski proizvodi,73.20584
2020,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Industrijski proizvodi,73.47208
2021,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Industrijski proizvodi,73.1958
2005,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Nafta ili ulje,0.0
2015,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Nafta ili ulje,100.0
2005,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Tekstil,86.64921
2010,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Tekstil,83.00971
2015,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Tekstil,81.26195
2016,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Tekstil,69.17808
2017,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Tekstil,84.49477
2018,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Tekstil,85.31469
2019,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Tekstil,77.11016
2020,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Tekstil,78.37838
2021,Proporcija carinskih linija na uvoz sa nultom tarifom,Procenat,Tekstil,79.1291
