Year,SERIES,UNIT_MEASURE,Value
2005,DC_TRF_TOTL,Milioni tekućih američkih dolara,731
2006,DC_TRF_TOTL,Milioni tekućih američkih dolara,1196
2007,DC_TRF_TOTL,Milioni tekućih američkih dolara,1281
2008,DC_TRF_TOTL,Milioni tekućih američkih dolara,1295
2009,DC_TRF_TOTL,Milioni tekućih američkih dolara,580
2010,DC_TRF_TOTL,Milioni tekućih američkih dolara,936
2011,DC_TRF_TOTL,Milioni tekućih američkih dolara,668
2012,DC_TRF_TOTL,Milioni tekućih američkih dolara,1091
2013,DC_TRF_TOTL,Milioni tekućih američkih dolara,986
2014,DC_TRF_TOTL,Milioni tekućih američkih dolara,551
2015,DC_TRF_TOTL,Milioni tekućih američkih dolara,946
2016,DC_TRF_TOTL,Milioni tekućih američkih dolara,656
2017,DC_TRF_TOTL,Milioni tekućih američkih dolara,1008
2018,DC_TRF_TOTL,Milioni tekućih američkih dolara,993
2019,DC_TRF_TOTL,Milioni tekućih američkih dolara,691
2020,DC_TRF_TOTL,Milioni tekućih američkih dolara,789
2021,DC_TRF_TOTL,Milioni tekućih američkih dolara,1093
2022,DC_TRF_TOTL,Milioni tekućih američkih dolara,448
