Year,SERIES,UNIT_MEASURE,Value
2011,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,13.93
2015,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,7.28
2017,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,6.5
2018,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,6.9
2019,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,7.61
2020,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,7.27
2021,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,6.94
2022,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,7.84
2023,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,7.37
2024,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%),Procenat,7.03
