Year,SERIES,UNIT_MEASURE,Sektor prehrambenog otpada,Value
2019,AG_FOOD_WST,Tone,Svi sektori otpada od hrane,416163.925
2022,AG_FOOD_WST,Tone,Svi sektori otpada od hrane,403903.837
2019,AG_FOOD_WST,Tone,Domaćinstva,273269.236
2022,AG_FOOD_WST,Tone,Domaćinstva,277116.728
2019,AG_FOOD_WST,Tone,Potrošnja izvan domaćinstva,91266.294
2022,AG_FOOD_WST,Tone,Potrošnja izvan domaćinstva,79255.996
2019,AG_FOOD_WST,Tone,Maloprodaja,51628.395
2022,AG_FOOD_WST,Tone,Maloprodaja,47531.113
2019,AG_FOOD_WST_PC,Kilogrami,Svi sektori otpada od hrane,123.832
2022,AG_FOOD_WST_PC,Kilogrami,Svi sektori otpada od hrane,124.911
2019,AG_FOOD_WST_PC,Kilogrami,Domaćinstva,81.313
2022,AG_FOOD_WST_PC,Kilogrami,Domaćinstva,85.701
2019,AG_FOOD_WST_PC,Kilogrami,Potrošnja izvan domaćinstva,27.157
2012,AG_FOOD_WST_PC,Kilogrami,Potrošnja izvan domaćinstva,24.511
2019,AG_FOOD_WST_PC,Kilogrami,Maloprodaja,15.362
2022,AG_FOOD_WST_PC,Kilogrami,Maloprodaja,14.699
