Year,SERIES,UNIT_MEASURE,Value
2015,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%),Procenat,0.02267
2016,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%),Procenat,0.02819
2017,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%),Procenat,0.05771
2018,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%),Procenat,0.08685
2019,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%),Procenat,0.42727
2020,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%),Procenat,0.34182
2021,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%),Procenat,0.87877
2022,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%),Procenat,1.60099
2015,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara),(milijarde nominalnih američkih dolara),0.00372
2016,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara),(milijarde nominalnih američkih dolara),0.00477
2017,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara),(milijarde nominalnih američkih dolara),0.01009
2018,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara),(milijarde nominalnih američkih dolara),0.01577
2019,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara),(milijarde nominalnih američkih dolara),0.07981
2020,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara),(milijarde nominalnih američkih dolara),0.06192
2021,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara),(milijarde nominalnih američkih dolara),0.17097
2022,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara),(milijarde nominalnih američkih dolara),0.32464
2015,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari),(tekući američki dolari),1.0554
2016,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari),(tekući američki dolari),1.3713
2017,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari),(tekući američki dolari),2.93358
2018,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari),(tekući američki dolari),4.63745
2019,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari),(tekući američki dolari),23.74803
2020,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari),(tekući američki dolari),18.66074
2021,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari),(tekući američki dolari),52.26783
2022,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari),(tekući američki dolari),100.39731
