Year,SERIES,Bioklimatski pojas,Pokrivenost zemljišta,UNIT_MEASURE,Value
2000,Indeks planinskog zelenog pokrivača,Planinski,Vještačke površine,Procenat,0.33
2005,Indeks planinskog zelenog pokrivača,Planinski,Vještačke površine,Procenat,0.38
2010,Indeks planinskog zelenog pokrivača,Planinski,Vještačke površine,Procenat,0.43
2015,Indeks planinskog zelenog pokrivača,Planinski,Vještačke površine,Procenat,0.5
2018,Indeks planinskog zelenog pokrivača,Planinski,Vještačke površine,Procenat,0.5
2000,Indeks planinskog zelenog pokrivača,Planinski,Usjevi,Procenat,18.81
2005,Indeks planinskog zelenog pokrivača,Planinski,Usjevi,Procenat,18.28
2010,Indeks planinskog zelenog pokrivača,Planinski,Usjevi,Procenat,17.12
2015,Indeks planinskog zelenog pokrivača,Planinski,Usjevi,Procenat,16.92
2018,Indeks planinskog zelenog pokrivača,Planinski,Usjevi,Procenat,17.08
2000,Indeks planinskog zelenog pokrivača,Planinski,Trajni snijeg i glečeri,Procenat,0.0
2005,Indeks planinskog zelenog pokrivača,Planinski,Trajni snijeg i glečeri,Procenat,0.0
2010,Indeks planinskog zelenog pokrivača,Planinski,Trajni snijeg i glečeri,Procenat,0.0
2015,Indeks planinskog zelenog pokrivača,Planinski,Trajni snijeg i glečeri,Procenat,0.0
2018,Indeks planinskog zelenog pokrivača,Planinski,Trajni snijeg i glečeri,Procenat,0.0
2000,Indeks planinskog zelenog pokrivača,Planinski,Travnate površine,Procenat,13.14
2005,Indeks planinskog zelenog pokrivača,Planinski,Travnate površine,Procenat,13.18
2010,Indeks planinskog zelenog pokrivača,Planinski,Travnate površine,Procenat,13.12
2015,Indeks planinskog zelenog pokrivača,Planinski,Travnate površine,Procenat,13.02
2018,Indeks planinskog zelenog pokrivača,Planinski,Travnate površine,Procenat,13.07
2000,Indeks planinskog zelenog pokrivača,Planinski,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.08
2005,Indeks planinskog zelenog pokrivača,Planinski,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.08
2010,Indeks planinskog zelenog pokrivača,Planinski,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.08
2015,Indeks planinskog zelenog pokrivača,Planinski,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.08
2018,Indeks planinskog zelenog pokrivača,Planinski,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.08
2000,Indeks planinskog zelenog pokrivača,Planinski,Unutrašnje vodene površine,Procenat,0.34
2005,Indeks planinskog zelenog pokrivača,Planinski,Unutrašnje vodene površine,Procenat,0.34
2010,Indeks planinskog zelenog pokrivača,Planinski,Unutrašnje vodene površine,Procenat,0.33
2015,Indeks planinskog zelenog pokrivača,Planinski,Unutrašnje vodene površine,Procenat,0.33
2018,Indeks planinskog zelenog pokrivača,Planinski,Unutrašnje vodene površine,Procenat,0.33
2000,Indeks planinskog zelenog pokrivača,Planinski,Indeks zelenog pokrivača planine (MGCI),Procenat,99.23
2005,Indeks planinskog zelenog pokrivača,Planinski,Indeks zelenog pokrivača planine (MGCI),Procenat,99.18
2010,Indeks planinskog zelenog pokrivača,Planinski,Indeks zelenog pokrivača planine (MGCI),Procenat,99.13
2015,Indeks planinskog zelenog pokrivača,Planinski,Indeks zelenog pokrivača planine (MGCI),Procenat,99.06
2018,Indeks planinskog zelenog pokrivača,Planinski,Indeks zelenog pokrivača planine (MGCI),Procenat,99.05
2000,Indeks planinskog zelenog pokrivača,Planinski,Površine prekrivene žbunjem,Procenat,1.09
2005,Indeks planinskog zelenog pokrivača,Planinski,Površine prekrivene žbunjem,Procenat,1.08
2010,Indeks planinskog zelenog pokrivača,Planinski,Površine prekrivene žbunjem,Procenat,1.08
2015,Indeks planinskog zelenog pokrivača,Planinski,Površine prekrivene žbunjem,Procenat,1.08
2018,Indeks planinskog zelenog pokrivača,Planinski,Površine prekrivene žbunjem,Procenat,1.09
2000,Indeks planinskog zelenog pokrivača,Planinski,Površine sa rijetkom vegetacijom,Procenat,0.07
2005,Indeks planinskog zelenog pokrivača,Planinski,Površine sa rijetkom vegetacijom,Procenat,0.07
2010,Indeks planinskog zelenog pokrivača,Planinski,Površine sa rijetkom vegetacijom,Procenat,0.08
2015,Indeks planinskog zelenog pokrivača,Planinski,Površine sa rijetkom vegetacijom,Procenat,0.08
2018,Indeks planinskog zelenog pokrivača,Planinski,Površine sa rijetkom vegetacijom,Procenat,0.08
2000,Indeks planinskog zelenog pokrivača,Planinski,Neplodna zemlja,Procenat,0.03
2005,Indeks planinskog zelenog pokrivača,Planinski,Neplodna zemlja,Procenat,0.03
2010,Indeks planinskog zelenog pokrivača,Planinski,Neplodna zemlja,Procenat,0.03
2015,Indeks planinskog zelenog pokrivača,Planinski,Neplodna zemlja,Procenat,0.03
2018,Indeks planinskog zelenog pokrivača,Planinski,Neplodna zemlja,Procenat,0.03
2000,Indeks planinskog zelenog pokrivača,Planinski,Područja pokrivena drvećem,Procenat,66.11
2005,Indeks planinskog zelenog pokrivača,Planinski,Područja pokrivena drvećem,Procenat,66.56
2010,Indeks planinskog zelenog pokrivača,Planinski,Područja pokrivena drvećem,Procenat,67.72
2015,Indeks planinskog zelenog pokrivača,Planinski,Područja pokrivena drvećem,Procenat,67.97
2018,Indeks planinskog zelenog pokrivača,Planinski,Područja pokrivena drvećem,Procenat,67.73
2000,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Vještačke površine,Procenat,0.0
2005,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Vještačke površine,Procenat,0.0
2010,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Vještačke površine,Procenat,0.0
2015,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Vještačke površine,Procenat,0.0
2018,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Vještačke površine,Procenat,0.0
2000,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Usjevi,Procenat,30.07
2005,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Usjevi,Procenat,26.41
2010,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Usjevi,Procenat,26.98
2015,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Usjevi,Procenat,23.89
2018,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Usjevi,Procenat,24.14
2000,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Trajni snijeg i glečeri,Procenat,0.0
2005,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Trajni snijeg i glečeri,Procenat,0.0
2010,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Trajni snijeg i glečeri,Procenat,0.0
2015,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Trajni snijeg i glečeri,Procenat,0.0
2018,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Trajni snijeg i glečeri,Procenat,0.0
2000,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Travnate površine,Procenat,3.78
2005,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Travnate površine,Procenat,3.78
2010,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Travnate površine,Procenat,3.78
2015,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Travnate površine,Procenat,3.78
2018,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Travnate površine,Procenat,3.78
2000,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.0
2005,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.0
2010,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.0
2015,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.0
2018,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.0
2000,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Unutrašnje vodene površine,Procenat,0.0
2005,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Unutrašnje vodene površine,Procenat,0.0
2010,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Unutrašnje vodene površine,Procenat,0.0
2015,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Unutrašnje vodene površine,Procenat,0.0
2018,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Unutrašnje vodene površine,Procenat,0.0
2000,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Indeks zelenog pokrivača planine (MGCI),Procenat,99.15
2005,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Indeks zelenog pokrivača planine (MGCI),Procenat,99.15
2010,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Indeks zelenog pokrivača planine (MGCI),Procenat,99.15
2015,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Indeks zelenog pokrivača planine (MGCI),Procenat,99.15
2018,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Indeks zelenog pokrivača planine (MGCI),Procenat,99.15
2000,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Površine prekrivene žbunjem,Procenat,42.91
2005,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Površine prekrivene žbunjem,Procenat,42.91
2010,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Površine prekrivene žbunjem,Procenat,43.48
2015,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Površine prekrivene žbunjem,Procenat,43.48
2018,Indeks planinskog zelenog pokrivača,Preostalo planinsko područje,Površine prekrivene žbunjem,Procenat,43.48
