Year,SERIES,Godine,COMPOSITE_BREAKDOWN,Spol,Zanimanje,UNIT_MEASURE,Value
2020,Proporcije pozicija u javnoj službi u poređenju sa nacionalnom raspodelom (odnos),Svi dobni rasponi ili nema podjele po godinama,,Žene,Administrativni stručnjaci,Odnos,0.99
2020,Proporcije pozicija u javnoj službi u poređenju sa nacionalnom raspodelom (odnos),Svi dobni rasponi ili nema podjele po godinama,,Žene,Stručnjaci za poslovne i administrativne poslove,Odnos,0.91
2020,Proporcije pozicija u javnoj službi u poređenju sa nacionalnom raspodelom (odnos),Svi dobni rasponi ili nema podjele po godinama,,Žene,Opšti službenici i sekretarice,Odnos,1.19
2020,Proporcije pozicija u javnoj službi u poređenju sa nacionalnom raspodelom (odnos),Svi dobni rasponi ili nema podjele po godinama,,Žene,Ostali menadžeri generalni direktori i izvršni direktori i menadžeri za poslovne usluge i administraciju,Odnos,0.8
2020,Proporcije pozicija u javnoj službi u poređenju sa nacionalnom raspodelom (odnos),Svi dobni rasponi ili nema podjele po godinama,,Žene,Viši menadžeri viši državni službenici,Odnos,0.29
2020,Proporcije pozicija u javnoj službi u poređenju sa nacionalnom raspodelom (odnos),mlađi od 35 godina,,Oba spola ili bez podjele po spolu,"Ukupno osoblje javnih službi na nacionalnom nivou (uključujući policiju, obrazovanje, zdravstvo, administrativno osoblje na recepciji i sve ostalo osoblje javnih službi)",Odnos,0.44
2020,Proporcije pozicija u javnoj službi u poređenju sa nacionalnom raspodelom (odnos),Svi dobni rasponi ili nema podjele po godinama,,Žene,"Ukupno osoblje javnih službi na nacionalnom nivou (uključujući policiju, obrazovanje, zdravstvo, administrativno osoblje na recepciji i sve ostalo osoblje javnih službi)",Odnos,1.11
2022,Proporcije pozicija u pravosuđu u poređenju sa nacionalnom raspodjelom (omjer),Svi dobni raspon,,Žene,Sudije,Odnos,1.296
2022,Proporcije pozicija u pravosuđu u poređenju sa nacionalnom raspodjelom (omjer),Svi dobni raspon,,Muškarci,Sudije,Odnos,0.704
2022,"Proporcije pozicija u pravosuđu u odnosu na nacionalne raspodjele, Ustavni sud (omjer)",Svi dobni raspon,,Žene,Sudije,Odnos,1.298
2022,"Proporcije pozicija u pravosuđu u odnosu na nacionalne raspodjele, Ustavni sud (omjer)",Svi dobni raspon,,Muškarci,Sudije,Odnos,0.702
2022,"Proporcije pozicija u pravosuđu u poređenju sa nacionalnom raspodjelom, Viši sudovi (omjer)",Svi dobni raspon,,Žene,Sudije,Odnos,1.40171
2022,"Proporcije pozicija u pravosuđu u poređenju sa nacionalnom raspodjelom, Viši sudovi (omjer)",Svi dobni raspon,,Muškarci,Sudije,Odnos,0.59829
2022,"Proporcije pozicija u pravosuđu u poređenju sa nacionalnom raspodjelom, niži sudovi (omjer)",Svi dobni raspon,,Žene,Sudije,Odnos,1.26
2022,"Proporcije pozicija u pravosuđu u poređenju sa nacionalnom raspodjelom, niži sudovi (omjer)",Svi dobni raspon,,Muškarci,Sudije,Odnos,0.74
2021,"Broj predsjedavajućih stalnih odbora, prema spolu starosti i fokusu odbora, Zajednički odbori",Nepoznato,Ljudska prava,Muškarci,,Broj,1.0
2022,"Broj predsjedavajućih stalnih odbora, prema spolu starosti i fokusu odbora, Zajednički odbori",Nepoznato,Ljudska prava,Muškarci,,Broj,1.0
2025,"Broj predsjedavajućih stalnih odbora, prema spolu starosti i fokusu odbora, Zajednički odbori",mlađi od 45 godina,Ljudska prava,Muškarci,,Broj,1.0
2026,"Broj predsjedavajućih stalnih odbora, prema spolu starosti i fokusu odbora, Zajednički odbori",mlađi od 45 godina,Ljudska prava,Muškarci,,Broj,1.0
2026,"Broj predsjedavajućih stalnih odbora, prema spolu starosti i fokusu odbora, Zajednički odbori",41 godina i više,Odbrana,Muškarci,,Broj,1.0
2025,"Broj predsjedavajućih stalnih odbora, prema spolu starosti i fokusu odbora, Zajednički odbori",46 godina i više,Odbrana,Muškarci,,Broj,1.0
2026,"Broj predsjedavajućih stalnih odbora, prema spolu starosti i fokusu odbora, Zajednički odbori",46 godina i više,Odbrana,Muškarci,,Broj,1.0
2026,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",ispod 41 godine,Vanjski poslovi,Žene,,Broj,1.0
2025,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",mlađi od 45 godina,Vanjski poslovi,Žene,,Broj,1.0
2026,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",mlađi od 45 godina,Vanjski poslovi,Žene,,Broj,1.0
2022,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",46 godina i više,Vanjski poslovi,Muškarci,,Broj,1.0
2026,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",41 godina i više,Ravnopravnost spolova,Muškarci,,Broj,1.0
2022,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",46 godina i više,Ravnopravnost spolova,Muškarci,,Broj,1.0
2025,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",46 godina i više,Ravnopravnost spolova,Muškarci,,Broj,1.0
2026,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",46 godina i više,Ravnopravnost spolova,Muškarci,,Broj,1.0
2025,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",mlađi od 45 godina,Finansije,Žene,,Broj,1.0
2026,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",mlađi od 45 godina,Finansije,Žene,,Broj,1.0
2026,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",41 godina i više,Finansije,Žene,,Broj,1.0
2022,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",41 godina i više,Finansije,Muškarci,,Broj,1.0
2022,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",Nepoznato,Odbrana,Muškarci,,Broj,1.0
2022,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",Nije dostupno,Finansije,Nije dostupno,,Broj,0.0
2026,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",Nepoznato,Finansije,Nepoznato,,Broj,1.0
2025,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",46 godina i više,Finansije,Žene,,Broj,1.0
2021,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",Nije dostupno,Vanjski poslovi,Nije dostupno,,Broj,0.0
2022,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",Nije dostupno,Vanjski poslovi,Nije dostupno,,Broj,0.0
2023,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",Nije dostupno,Vanjski poslovi,Nije dostupno,,Broj,0.0
2021,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",Nije dostupno,Ravnopravnost spolova,Nije dostupno,,Broj,0.0
2022,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",Nije dostupno,Ravnopravnost spolova,Nije dostupno,,Broj,0.0
2023,"Broj predsjedavajućih stalnih odbora, prema starosti i spolu, gornji dom",Nije dostupno,Ravnopravnost spolova,Nije dostupno,,Broj,0.0
2021,"Odnos ženskih članove parlamenata (Odnos udjela žena u parlamentu u udjelu žena u nacionalnom stanovništvu sa starosnom podobnošću kao donja granica), u donjem domu ili jednodomnom parlamentu",,,,,Odnos,0.50835
2022,"Odnos ženskih članove parlamenata (Odnos udjela žena u parlamentu u udjelu žena u nacionalnom stanovništvu sa starosnom podobnošću kao donja granica), u donjem domu ili jednodomnom parlamentu",,,,,Odnos,0.50835
2025,"Odnos ženskih članove parlamenata (Odnos udjela žena u parlamentu u udjelu žena u nacionalnom stanovništvu sa starosnom podobnošću kao donja granica), u donjem domu ili jednodomnom parlamentu",,,,,Odnos,0.357591
2026,"Odnos ženskih članove parlamenata (Odnos udjela žena u parlamentu u udjelu žena u nacionalnom stanovništvu sa starosnom podobnošću kao donja granica), u donjem domu ili jednodomnom parlamentu",,,,,Odnos,0.35759
2022,"Odnos za ženske članove parlamenata (Odnos udjela žena u parlamentu u udjelu žena u nacionalnom stanovništvu sa starosnom podobnošću kao donja granica), u gornjem domu",,,,,Odnos,0.38819
2025,"Odnos za ženske članove parlamenata (Odnos udjela žena u parlamentu u udjelu žena u nacionalnom stanovništvu sa starosnom podobnošću kao donja granica), u gornjem domu",,,,,Odnos,0.12516
2026,"Odnos za ženske članove parlamenata (Odnos udjela žena u parlamentu u udjelu žena u nacionalnom stanovništvu sa starosnom podobnošću kao donja granica), u gornjem domu",,,,,Odnos,0.0
2021,"Broj govornika u parlamentu, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",46 godina i više,,Žene,,Broj,1.0
2022,"Broj govornika u parlamentu, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",46 godina i više,,Žene,,Broj,1.0
2022,"Broj govornika u parlamentu, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",46 godina i više,,Muškarci,,Broj,2.0
2025,"Broj govornika u parlamentu, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",46 godina i više,,Muškarci,,Broj,3.0
2026,"Broj govornika u parlamentu, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",46 godina i više,,Muškarci,,Broj,3.0
2026,"Broj govornika u parlamentu, prema starosti i spolu, u donjem domu ili jednodomnom parlamentu",41 godina i više,,Muškarci,,Broj,3.0
2026,"Broj govornika u parlamentu, prema starosti i spolu, u gornjem domu",41 godina i više,,Muškarci,,Broj,3.0
2022,"Broj govornika u parlamentu, prema starosti i spolu, u gornjem domu",46 godina i više,,Muškarci,,Broj,3.0
2025,"Broj govornika u parlamentu, prema starosti i spolu, u gornjem domu",46 godina i više,,Muškarci,,Broj,3.0
2026,"Broj govornika u parlamentu, prema starosti i spolu, u gornjem domu",46 godina i više,,Muškarci,,Broj,3.0
2026,"Broj mladih u parlamentu, donjem domu ili jednodomnom parlamentu (Broj)",ispod 41 godine,,,,Broj,7.0
2022,"Broj mladih u parlamentu, donjem domu ili jednodomnom parlamentu (Broj)",mlađi od 45 godina,,,,Broj,7.0
2025,"Broj mladih u parlamentu, donjem domu ili jednodomnom parlamentu (Broj)",mlađi od 45 godina,,,,Broj,7.0
2026,"Broj mladih u parlamentu, donjem domu ili jednodomnom parlamentu (Broj)",mlađi od 45 godina,,,,Broj,7.0
2026,"Broj mladih u parlamentu, donjem domu ili jednodomnom parlamentu (Broj)",ispod 41 godine,,,,Broj,7.0
2022,"Broj mladih u parlamentu, donjem domu ili jednodomnom parlamentu (Broj)",mlađi od 45 godina,,,,Broj,8.0
2025,"Broj mladih u parlamentu, donjem domu ili jednodomnom parlamentu (Broj)",mlađi od 45 godina,,,,Broj,10.0
2026,"Broj mladih u parlamentu, donjem domu ili jednodomnom parlamentu (Broj)",mlađi od 45 godina,,,,Broj,10.0
2021,"Broj mladih u parlamentu (45 godina ili manje), donjem domu ili jednodomnom (broj)",mlađi od 45 godina,,,,Broj,
2022,"Broj mladih u parlamentu (45 godina ili manje), donjem domu ili jednodomnom (broj)",mlađi od 45 godina,,,,Broj,
2023,"Broj mladih u parlamentu (45 godina ili manje), donjem domu ili jednodomnom (broj)",mlađi od 45 godina,,,,Broj,
2026,"Broj mladih u parlamentu, Gornji dom (Broj)",ispod 41 godine,,,,Broj,2.0
2022,"Broj mladih u parlamentu, Gornji dom (Broj)",mlađi od 45 godina,,,,Broj,1.0
2025,"Broj mladih u parlamentu, Gornji dom (Broj)",mlađi od 45 godina,,,,Broj,2.0
2026,"Broj mladih u parlamentu, Gornji dom (Broj)",mlađi od 45 godina,,,,Broj,2.0
2021,"Broj mladih u parlamentu (45 godina ili manje), Gornji dom (broj)",mlađi od 45 godina,,,,Broj,
2022,"Broj mladih u parlamentu (45 godina ili manje), Gornji dom (broj)",mlađi od 45 godina,,,,Broj,
2023,"Broj mladih u parlamentu (45 godina ili manje), Gornji dom (broj)",mlađi od 45 godina,,,,Broj,
2026,"Udio mladih u parlamentu, Donji dom ili Jednodomni (%)",ispod 41 godine,,,,Procenat,17.1
2022,"Udio mladih u parlamentu, Donji dom ili Jednodomni (%)",mlađi od 45 godina,,,,Procenat,19.05
