Year,SERIES,UNIT_MEASURE,Value
2015,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, nominalno u milionima USD",CU_USD_M,0.0
2016,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, nominalno u milionima USD",CU_USD_M,0.0
2017,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, nominalno u milionima USD",CU_USD_M,0.0
2018,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, nominalno u milionima USD",CU_USD_M,0.0
2019,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, nominalno u milionima USD",CU_USD_M,59.95
2020,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, nominalno u milionima USD",CU_USD_M,78.78
2015,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, milion USD realno",CON_USD_M,0.0
2016,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, milion USD realno",CON_USD_M,0.0
2017,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, milion USD realno",CON_USD_M,0.0
2018,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, milion USD realno",CON_USD_M,0.0
2019,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, milion USD realno",CON_USD_M,59.95
2020,"Iznos američkih dolara namjenjenih javno-privatnim partnerstvima za infrastrukturu, milion USD realno",CON_USD_M,78.78
