Year,SERIES,UNIT_MEASURE,Value
2000,Prilivi stranih direktnih investicija (SDI),Američki dolar,146.07558
2001,Prilivi stranih direktnih investicija (SDI),Američki dolar,118.86707
2002,Prilivi stranih direktnih investicija (SDI),Američki dolar,265.17369
2003,Prilivi stranih direktnih investicija (SDI),Američki dolar,381.05307
2004,Prilivi stranih direktnih investicija (SDI),Američki dolar,511.18617
2005,Prilivi stranih direktnih investicija (SDI),Američki dolar,351.18582
2006,Prilivi stranih direktnih investicija (SDI),Američki dolar,554.69003
2007,Prilivi stranih direktnih investicija (SDI),Američki dolar,1819.24423
2008,Prilivi stranih direktnih investicija (SDI),Američki dolar,1001.64769
2009,Prilivi stranih direktnih investicija (SDI),Američki dolar,249.9485
2010,Prilivi stranih direktnih investicija (SDI),Američki dolar,406.08909
2011,Prilivi stranih direktnih investicija (SDI),Američki dolar,496.52508
2012,Prilivi stranih direktnih investicija (SDI),Američki dolar,394.87324
2013,Prilivi stranih direktnih investicija (SDI),Američki dolar,276.36197
2014,Prilivi stranih direktnih investicija (SDI),Američki dolar,550.1991
2015,Prilivi stranih direktnih investicija (SDI),Američki dolar,361.14013
2016,Prilivi stranih direktnih investicija (SDI),Američki dolar,349.75913
2017,Prilivi stranih direktnih investicija (SDI),Američki dolar,449.85132
2018,Prilivi stranih direktnih investicija (SDI),Američki dolar,472.80012
2019,Prilivi stranih direktnih investicija (SDI),Američki dolar,528.35286
