Year,SERIES,UNIT_MEASURE,Spol,Value
2000,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,17
2001,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,16
2002,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,14
2003,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,14
2004,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,14
2005,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,13
2006,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,13
2007,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,13
2008,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,11
2009,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,11
2010,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,11
2011,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,10
2012,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,10
2013,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,10
2014,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,10
2015,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,10
2016,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,10
2017,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,10
