Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,367.0
2001,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,336.0
2002,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,312.0
2003,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,294.0
2004,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,281.0
2005,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,271.0
2006,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,260.0
2007,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,250.0
2008,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,238.0
2009,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,226.0
2010,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,213.0
2011,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,202.0
2012,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,191.0
2013,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,181.0
2014,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,173.0
2015,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,165.0
2016,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,157.0
2017,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,150.0
2018,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,142.0
2019,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,135.0
2000,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,157.0
2001,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,145.0
2002,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,134.0
2003,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,127.0
2004,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,121.0
2005,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,116.0
2006,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,112.0
2007,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,108.0
2008,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,103.0
2009,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,98.0
2010,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,93.0
2011,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,88.0
2012,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,83.0
2013,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,79.0
2014,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,75.0
2015,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,72.0
2016,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,69.0
2017,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,66.0
2018,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,62.0
2019,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Žene,59.0
2000,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,210.0
2001,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,191.0
2002,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,178.0
2003,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,167.0
2004,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,160.0
2005,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,155.0
2006,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,148.0
2007,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,142.0
2008,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,135.0
2009,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,128.0
2010,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,120.0
2011,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,114.0
2012,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,108.0
2013,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,102.0
2014,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,98.0
2015,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,93.0
2016,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,88.0
2017,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Muškarci,84.0
