Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,4.69667
2001,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,4.7911
2002,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,4.92717
2003,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,4.69667
2004,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.16427
2005,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.40879
2006,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.6915
2007,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.8936
2008,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.92371
2009,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.85432
2010,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.81671
2011,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.91309
2012,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.95229
2013,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.91443
2014,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,5.89975
2015,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,6.0781
2016,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,6.33673
2017,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,6.52126
2018,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,6.49118
2019,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,6.26801
2020,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,6.19734
2021,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,6.32886
2022,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Oba pola,6.32886
2000,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Žene,
2005,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Žene,
2010,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Žene,
2015,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Žene,
2019,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Žene,
2000,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Muškarci,
2005,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Muškarci,
2010,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Muškarci,
2015,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Muškarci,
2019,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini (litara čistog alkohola),Litri,15 godina i više,Muškarci,
