Year,SERIES,UNIT_MEASURE,Godine,Stepen urbanizacije,Kvantil dohotka ili bogatstva,Spol,Tipovi domaćinstva,Value
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,mlađi od 59 godina,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,8.11
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,60 godina i stariji,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,9.36
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,18.78
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,11.24
2007,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,15.36
2011,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,12.25
2015,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,10.92
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,8.58
2022,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Sve vrste domaćinstava,8.58
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Domaćinstva sastavljena samo od osoba starosti između 20 i 59 godina,9.94
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Domaćinstva sastavljena samo od osoba starosti između 20 i 59 godina,3.68
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Odrasli koji žive s djecom (od 0 do 9 godina) i ili adolescentima (od 10 do 19 godina),18.23
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Odrasli koji žive s djecom (od 0 do 9 godina) i ili adolescentima (od 10 do 19 godina),9.06
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Domaćinstva sastavljena od odraslih koji žive s najmanje jednom starijom osobom (60 godina i više),17.51
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Domaćinstva sastavljena od odraslih koji žive s najmanje jednom starijom osobom (60 godina i više),7.95
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,"Domaćinstva uključuju odrasle koji žive s osobama mlađim od 20 godina (djeca i ili adolescenti), kao i starije odrasle osobe (60 godina i više)",30.34
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,"Domaćinstva uključuju odrasle koji žive s osobama mlađim od 20 godina (djeca i ili adolescenti), kao i starije odrasle osobe (60 godina i više)",16.66
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Domaćinstva sastavljena isključivo od starijih osoba (60 godina i više),18.3
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba pola,Domaćinstva sastavljena isključivo od starijih osoba (60 godina i više),7.47
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste domaćinstava,11.27
2007,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste domaćinstava,14.35
2011,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste domaćinstava,10.98
2015,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste domaćinstava,9.73
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste domaćinstava,7.12
2022,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste domaćinstava,7.49
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste domaćinstava,11.24
2007,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste domaćinstava,13.43
2011,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste domaćinstava,12.49
2015,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste domaćinstava,11.17
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste domaćinstava,8.88
2022,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Sve vrste domaćinstava,8.81
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 1 (najsiromašniji),Oba pola,Sve vrste domaćinstava,64.67
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 1 (najsiromašniji),Oba pola,Sve vrste domaćinstava,38.62
2007,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 1 (najsiromašniji),Oba pola,Sve vrste domaćinstava,50.52
2011,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 1 (najsiromašniji),Oba pola,Sve vrste domaćinstava,45.32
2015,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 1 (najsiromašniji),Oba pola,Sve vrste domaćinstava,38.16
2021,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 1 (najsiromašniji),Oba pola,Sve vrste domaćinstava,36.42
2022,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 1 (najsiromašniji),Oba pola,Sve vrste domaćinstava,37.4
2001,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 2,Oba pola,Sve vrste domaćinstava,10.0
2004,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 2,Oba pola,Sve vrste domaćinstava,9.03
2007,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 2,Oba pola,Sve vrste domaćinstava,10.15
2011,"Udio stanovništva s pozitivnim izdacima domaćinstva za zdravstvo koji prelaze 40% diskrecionog budžeta domaćinstva, po lokaciji, kvintilu, vrsti domaćinstva i karakteristikama glave domaćinstva (%)",Procenat,Svi dobni raspon,Sva područja,Kvantil 2,Oba pola,Sve vrste domaćinstava,9.27
