Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Oba pola,46.3
2005,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Oba pola,43.9
2010,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Oba pola,41.9
2015,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Oba pola,40.0
2020,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Oba pola,38.2
2024,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Oba pola,37.1
2000,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Žene,34.2
2005,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Žene,33.6
2010,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Žene,32.6
2015,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Žene,32.0
2020,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Žene,31.5
2024,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Žene,31.2
2000,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Muškarci,58.3
2005,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Muškarci,54.3
2010,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Muškarci,51.2
2015,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Muškarci,48.0
2020,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Muškarci,44.9
2022,Starosna standardizirana rasprostranjenost trenutne upotrebe duhana među osobama starosti 15 godina i više,Procenat,15 godina i više,Muškarci,43.0
