Year,SERIES,UNIT_MEASURE,Spol,Vrsta vještina,Godine,Value
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Oba pola,Pismenost,15 do 24 godine,99.79
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Oba pola,Pismenost,15 do 24 godine,99.66
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Žene,Pismenost,15 do 24 godine,99.84
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Žene,Pismenost,15 do 24 godine,99.67
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Muškarci,Pismenost,15 do 24 godine,99.75
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Muškarci,Pismenost,15 do 24 godine,99.66
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Oba pola,Pismenost,od 15 do 99 godina,96.66
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Oba pola,Pismenost,od 15 do 99 godina,99.99
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Žene,Pismenost,od 15 do 99 godina,94.36
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Žene,Pismenost,od 15 do 99 godina,94.91
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Muškarci,Pismenost,od 15 do 99 godina,99.03
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Muškarci,Pismenost,od 15 do 99 godina,99.18
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Oba pola,Pismenost,od 25 do 64 godine,98.32
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Oba pola,Pismenost,od 25 do 64 godine,99.04
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Žene,Pismenost,od 25 do 64 godine,97.19
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Žene,Pismenost,od 25 do 64 godine,98.58
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Muškarci,Pismenost,od 25 do 64 godine,99.5
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Muškarci,Pismenost,od 25 do 64 godine,99.5
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Oba pola,Pismenost,od 65 do 99 godina,83.2
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Oba pola,Pismenost,od 65 do 99 godina,96.04
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Žene,Pismenost,od 65 do 99 godina,72.58
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Žene,Pismenost,od 65 do 99 godina,78.11
2000,Stopa pismenosti mladih / odraslih (%),Procenat,Muškarci,Pismenost,od 65 do 99 godina,95.28
2013,Stopa pismenosti mladih / odraslih (%),Procenat,Muškarci,Pismenost,od 65 do 99 godina,97.03
