Year,SERIES,UNIT_MEASURE,Stepen odstupanja,Value
2017,Vode jezera kvalitetno trofičko stanje (%),Procenat,Ekstreman (75-100%),0.0
2018,Vode jezera kvalitetno trofičko stanje (%),Procenat,Ekstreman (75-100%),0.0
2019,Vode jezera kvalitetno trofičko stanje (%),Procenat,Ekstreman (75-100%),0.0073
2020,Vode jezera kvalitetno trofičko stanje (%),Procenat,Ekstreman (75-100%),0.0379
2021,Vode jezera kvalitetno trofičko stanje (%),Procenat,Ekstreman (75-100%),0.0057
2017,Vode jezera kvalitetno trofičko stanje (%),Procenat,Visok (50-75%),0.379
2018,Vode jezera kvalitetno trofičko stanje (%),Procenat,Visok (50-75%),0.1713
2019,Vode jezera kvalitetno trofičko stanje (%),Procenat,Visok (50-75%),0.2425
2020,Vode jezera kvalitetno trofičko stanje (%),Procenat,Visok (50-75%),0.5234
2021,Vode jezera kvalitetno trofičko stanje (%),Procenat,Visok (50-75%),0.5773
2017,Vode jezera kvalitetno trofičko stanje (%),Procenat,Nizak (0-25%),87.3743
2018,Vode jezera kvalitetno trofičko stanje (%),Procenat,Nizak (0-25%),96.896
2019,Vode jezera kvalitetno trofičko stanje (%),Procenat,Nizak (0-25%),96.4754
2020,Vode jezera kvalitetno trofičko stanje (%),Procenat,Nizak (0-25%),91.5949
2021,Vode jezera kvalitetno trofičko stanje (%),Procenat,Nizak (0-25%),93.7713
2017,Vode jezera kvalitetno trofičko stanje (%),Procenat,Srednji (25-50%),12.2467
2018,Vode jezera kvalitetno trofičko stanje (%),Procenat,Srednji (25-50%),2.9327
2019,Vode jezera kvalitetno trofičko stanje (%),Procenat,Srednji (25-50%),3.2748
2020,Vode jezera kvalitetno trofičko stanje (%),Procenat,Srednji (25-50%),7.8446
2021,Vode jezera kvalitetno trofičko stanje (%),Procenat,Srednji (25-50%),5.6457
2017,Vode jezera zamućenost kvalitete (%),Procenat,Ekstreman (75-100%),36.6827
2018,Vode jezera zamućenost kvalitete (%),Procenat,Ekstreman (75-100%),13.2817
