Year,SERIES,UNIT_MEASURE,Godine,Value
2000,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,4.8
2001,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,2.4
2002,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,5.4
2003,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,5.1
2004,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,8.0
2005,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,6.1
2006,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,7.1
2007,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,3.5
2008,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,-0.92
2009,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,-0.35
2010,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,7.3
2011,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,3.3
2012,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,1.9
2013,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,3.3
2014,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,2.7
2015,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,6.05
2016,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,1.6
2017,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,-1.58
2018,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,2.74
2019,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,1.35
2020,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,-0.56
2021,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,7.71
2022,Godišnja stopa rasta realnog BDP-a po zaposlenoj osobi,Procenat,15 godina i više,2.64
