Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Spol,Value
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,89.54726
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,90.8656
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,91.24082
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,91.19395
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,90.3971
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,90.55731
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,90.81431
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,90.94156
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,89.75101
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,89.99401
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,89.89365
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,90.06844
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,88.36454
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Oba spola ili bez podjele po spolu,91.25178
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,24.64321
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,23.75937
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,21.15373
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,18.33027
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,18.12443
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,16.32869
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,18.90363
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,17.68838
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,16.82241
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,17.1006
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,17.47461
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,19.11034
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,18.33754
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Oba spola ili bez podjele po spolu,17.14282
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,37.97401
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,37.05676
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,35.5773
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,33.79404
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,32.35771
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,30.88499
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,33.68709
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,31.50649
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,29.27798
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,30.1308
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,30.47912
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,32.50089
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,29.34922
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Oba spola ili bez podjele po spolu,30.45466
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,95.62931
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,97.29556
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,96.10625
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,96.27624
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,95.90703
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,96.64297
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,96.13205
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,95.96992
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,93.96121
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,95.00422
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,96.69173
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,96.09827
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,95.64754
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,"Poljoprivreda, šumarstvo i ribolov",Žene,96.74567
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,18.89549
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,16.87185
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,15.72685
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,12.81741
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,14.30237
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,12.00905
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,13.17889
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,12.78597
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,12.49147
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,13.83979
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,12.68617
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,14.72831
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,14.77003
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Nepoljoprivredna,Žene,12.58121
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,35.76331
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Procenat,Bez podjele,Žene,34.03786
