Year,SERIES,UNIT_MEASURE,Spol,Zanimanje,Value
2006,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,2.9
2007,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,3.07
2008,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,3.06
2009,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,3.93
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,4.02
2011,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,4.79
2012,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,4.23
2013,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,4.33
2014,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,4.27
2015,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,4.44
2016,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,4.24
2020,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,8.44
2021,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Sva zanimanja,7.39
2010,Prosječna zarada po satu zaposlenih prema spolu i zanimanju (nacionalna valuta),CUR_LCU,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,4.98
