Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2000,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,8.26
2001,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,8.59
2002,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,8.86
2003,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,8.79
2004,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,8.65
2005,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,9.11
2006,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,9.88
2007,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,10.32
2008,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,10.42
2009,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,10.16
2010,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,10.79
2011,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,10.69
2012,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,10.69
2013,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,10.97
2014,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,11.31
