Year,UNIT_MEASURE,Tip,Value
a)Januar,Broj,Raspoloživo za finalnu potrošnju 2019,1241
b)Februar,Broj,Raspoloživo za finalnu potrošnju 2019,1031
c)Mart,Broj,Raspoloživo za finalnu potrošnju 2019,1066
d)April,Broj,Raspoloživo za finalnu potrošnju 2019,993
e)Maj,Broj,Raspoloživo za finalnu potrošnju 2019,1002
f)Juni,Broj,Raspoloživo za finalnu potrošnju 2019,"965,807"
g)Juli,Broj,Raspoloživo za finalnu potrošnju 2019,946
h)August,Broj,Raspoloživo za finalnu potrošnju 2019,944
a)Januar,Broj,Raspoloživo za finalnu potrošnju 2020,1137
b)Februar,Broj,Raspoloživo za finalnu potrošnju 2020,976
c)Mart,Broj,Raspoloživo za finalnu potrošnju 2020,931
d)April,Broj,Raspoloživo za finalnu potrošnju 2020,828
e)Maj,Broj,Raspoloživo za finalnu potrošnju 2020,808
f)Juni,Broj,Raspoloživo za finalnu potrošnju 2020,812
g)Juli,Broj,Raspoloživo za finalnu potrošnju 2020,890
h)August,Broj,Raspoloživo za finalnu potrošnju 2020,848
