Year,UNIT_MEASURE,Tip,Value
a)2020 - 2019 Januar,Index,Ukupno,-2.0
b)2020 - 2019 Februar,Index,Ukupno,-2.8
c)2020 - 2019 Mart,Index,Ukupno,-12.6
d)2020 - 2019 April,Index,Ukupno,29.5
e)2020 - 2019 Maj,Index,Ukupno,-4.5
f)2020 - 2019 Juni,Index,Ukupno,18.2
g)2020 - 2019 Juli,Index,Ukupno,-10.1
h)2020 - 2019 August,Index,Ukupno,-0.4
i)2020 - 2019 Septembar,Index,Ukupno,-1.3
j)2020 - 2019 Oktobar,Index,Ukupno,3.2
k)2020 - 2019 Novembar,Index,Ukupno,1.6
l)2020 - 2019 Decembar,Index,Ukupno,9.7
m)2021 - 2020 Januar,Index,Ukupno,-2.7
n)2021 - 2020 Februar,Index,Ukupno,-5.5
a)2020 - 2019 Januar,Index,Intermedijarni proizvodi,-4.0
b)2020 - 2019 Februar,Index,Intermedijarni proizvodi,-4.6
c)2020 - 2019 Mart,Index,Intermedijarni proizvodi,-14.3
d)2020 - 2019 April,Index,Intermedijarni proizvodi,-26.7
e)2020 - 2019 Maj,Index,Intermedijarni proizvodi,-19.2
f)2020 - 2019 Juni,Index,Intermedijarni proizvodi,-20.1
g)2020 - 2019 Juli,Index,Intermedijarni proizvodi,-7.9
h)2020 - 2019 August,Index,Intermedijarni proizvodi,1.2
i)2020 - 2019 Septembar,Index,Intermedijarni proizvodi,-4.9
j)2020 - 2019 Oktobar,Index,Intermedijarni proizvodi,2.7
k)2020 - 2019 Novembar,Index,Intermedijarni proizvodi,3.7
l)2020 - 2019 Decembar,Index,Intermedijarni proizvodi,11.4
m)2021 - 2020 Januar,Index,Intermedijarni proizvodi,-1.0
n)2021 - 2020 Februar,Index,Intermedijarni proizvodi,-4.2
a)2020 - 2019 Januar,Index,Energija,-43.6
b)2020 - 2019 Februar,Index,Energija,-37.6
c)2020 - 2019 Mart,Index,Energija,-32.5
d)2020 - 2019 April,Index,Energija,-49.8
e)2020 - 2019 Maj,Index,Energija,-52.5
f)2020 - 2019 Juni,Index,Energija,-53.0
g)2020 - 2019 Juli,Index,Energija,-57.7
h)2020 - 2019 August,Index,Energija,-5.7
i)2020 - 2019 Septembar,Index,Energija,-13.5
j)2020 - 2019 Oktobar,Index,Energija,-11.6
k)2020 - 2019 Novembar,Index,Energija,-5.6
l)2020 - 2019 Decembar,Index,Energija,-10.7
m)2021 - 2020 Januar,Index,Energija,2.4
n)2021 - 2020 Februar,Index,Energija,-1.9
a)2020 - 2019 Januar,Index,Kapitalni proizvodi,3.1
b)2020 - 2019 Februar,Index,Kapitalni proizvodi,1.1
c)2020 - 2019 Mart,Index,Kapitalni proizvodi,-27.1
d)2020 - 2019 April,Index,Kapitalni proizvodi,-41.1
e)2020 - 2019 Maj,Index,Kapitalni proizvodi,-39.2
f)2020 - 2019 Juni,Index,Kapitalni proizvodi,-37.6
g)2020 - 2019 Juli,Index,Kapitalni proizvodi,-3.3
h)2020 - 2019 August,Index,Kapitalni proizvodi,15.9
i)2020 - 2019 Septembar,Index,Kapitalni proizvodi,10.8
j)2020 - 2019 Oktobar,Index,Kapitalni proizvodi,7.1
k)2020 - 2019 Novembar,Index,Kapitalni proizvodi,6.4
l)2020 - 2019 Decembar,Index,Kapitalni proizvodi,24.4
m)2021 - 2020 Januar,Index,Kapitalni proizvodi,8.5
n)2021 - 2020 Februar,Index,Kapitalni proizvodi,4.3
a)2020 - 2019 Januar,Index,Trajni proizvodi za široku potrošnju,-2.0
b)2020 - 2019 Februar,Index,Trajni proizvodi za široku potrošnju,2.1
c)2020 - 2019 Mart,Index,Trajni proizvodi za široku potrošnju,-24.9
d)2020 - 2019 April,Index,Trajni proizvodi za široku potrošnju,-51.6
e)2020 - 2019 Maj,Index,Trajni proizvodi za široku potrošnju,-30.2
f)2020 - 2019 Juni,Index,Trajni proizvodi za široku potrošnju,3.8
g)2020 - 2019 Juli,Index,Trajni proizvodi za široku potrošnju,3.8
h)2020 - 2019 August,Index,Trajni proizvodi za široku potrošnju,6.5
i)2020 - 2019 Septembar,Index,Trajni proizvodi za široku potrošnju,14.9
j)2020 - 2019 Oktobar,Index,Trajni proizvodi za široku potrošnju,10.9
k)2020 - 2019 Novembar,Index,Trajni proizvodi za široku potrošnju,9.9
l)2020 - 2019 Decembar,Index,Trajni proizvodi za široku potrošnju,20.7
m)2021 - 2020 Januar,Index,Trajni proizvodi za široku potrošnju,7.6
n)2021 - 2020 Februar,Index,Trajni proizvodi za široku potrošnju,4.1
a)2020 - 2019 Januar,Index,Netrajni proizvodi za široku potrošnju,12.1
b)2020 - 2019 Februar,Index,Netrajni proizvodi za široku potrošnju,8.7
c)2020 - 2019 Mart,Index,Netrajni proizvodi za široku potrošnju,6.5
d)2020 - 2019 April,Index,Netrajni proizvodi za široku potrošnju,-17.3
e)2020 - 2019 Maj,Index,Netrajni proizvodi za široku potrošnju,-14.4
f)2020 - 2019 Juni,Index,Netrajni proizvodi za široku potrošnju,1.9
g)2020 - 2019 Juli,Index,Netrajni proizvodi za široku potrošnju,-2.8
h)2020 - 2019 August,Index,Netrajni proizvodi za široku potrošnju,-8.9
i)2020 - 2019 Septembar,Index,Netrajni proizvodi za široku potrošnju,0.9
j)2020 - 2019 Oktobar,Index,Netrajni proizvodi za široku potrošnju,5.0
k)2020 - 2019 Novembar,Index,Netrajni proizvodi za široku potrošnju,-1.1
l)2020 - 2019 Decembar,Index,Netrajni proizvodi za široku potrošnju,3.2
m)2021 - 2020 Januar,Index,Netrajni proizvodi za široku potrošnju,-10.0
n)2021 - 2020 Februar,Index,Netrajni proizvodi za široku potrošnju,10.3
