Year,UNIT_MEASURE,Tip,Value
a)Januar,Index,Ukupan indeks 2019,100.1
b)Februar,Index,Ukupan indeks 2019,100.2
c)Mart,Index,Ukupan indeks 2019,99.1
d)April,Index,Ukupan indeks 2019,100.4
e)Maj,Index,Ukupan indeks 2019,100.2
f)Juni,Index,Ukupan indeks 2019,99.2
g)Juli,Index,Ukupan indeks 2019,100.4
h)August,Index,Ukupan indeks 2019,99.9
i)Septembar,Index,Ukupan indeks 2019,99.5
j)Oktobar,Index,Ukupan indeks 2019,99.0
k)Novembar,Index,Ukupan indeks 2019,99.6
l)Decembar,Index,Ukupan indeks 2019,99.8
a)Januar,Index,Ukupan indeks 2020,99.9
b)Februar,Index,Ukupan indeks 2020,99.9
c)Mart,Index,Ukupan indeks 2020,99.1
d)April,Index,Ukupan indeks 2020,99.9
e)Maj,Index,Ukupan indeks 2020,99.9
f)Juni,Index,Ukupan indeks 2020,99.5
g)Juli,Index,Ukupan indeks 2020,100.2
h)August,Index,Ukupan indeks 2020,99.9
i)Septembar,Index,Ukupan indeks 2020,100.3
j)Oktobar,Index,Ukupan indeks 2020,98.8
k)Novembar,Index,Ukupan indeks 2020,98.6
l)Decembar,Index,Ukupan indeks 2020,101.2
a)Januar,Index,Ukupan indeks 2021,100.3
b)Februar,Index,Ukupan indeks 2021,101.6
c)Mart,Index,Ukupan indeks 2021,99.8
a)Januar,Index,Domaće tržište 2019,99.6
b)Februar,Index,Domaće tržište 2019,100.4
c)Mart,Index,Domaće tržište 2019,98.2
d)April,Index,Domaće tržište 2019,101.0
e)Maj,Index,Domaće tržište 2019,100.5
f)Juni,Index,Domaće tržište 2019,99.0
g)Juli,Index,Domaće tržište 2019,100.2
h)August,Index,Domaće tržište 2019,100.0
i)Septembar,Index,Domaće tržište 2019,100.1
j)Oktobar,Index,Domaće tržište 2019,99.0
k)Novembar,Index,Domaće tržište 2019,100.3
l)Decembar,Index,Domaće tržište 2019,100.0
a)Januar,Index,Domaće tržište 2020,100.0
b)Februar,Index,Domaće tržište 2020,100.0
c)Mart,Index,Domaće tržište 2020,98.5
d)April,Index,Domaće tržište 2020,99.6
e)Maj,Index,Domaće tržište 2020,99.7
f)Juni,Index,Domaće tržište 2020,99.7
g)Juli,Index,Domaće tržište 2020,100.0
h)August,Index,Domaće tržište 2020,99.9
i)Septembar,Index,Domaće tržište 2020,100.3
j)Oktobar,Index,Domaće tržište 2020,98.1
k)Novembar,Index,Domaće tržište 2020,98.2
l)Decembar,Index,Domaće tržište 2020,101.6
a)Januar,Index,Domaće tržište 2021,100.1
b)Februar,Index,Domaće tržište 2021,101.8
c)Mart,Index,Domaće tržište 2021,99.0
a)Januar,Index,Nedomaće tržište 2019,100.8
b)Februar,Index,Nedomaće tržište 2019,100.1
c)Mart,Index,Nedomaće tržište 2019,100.6
d)April,Index,Nedomaće tržište 2019,99.5
e)Maj,Index,Nedomaće tržište 2019,99.7
f)Juni,Index,Nedomaće tržište 2019,99.4
g)Juli,Index,Nedomaće tržište 2019,100.9
h)August,Index,Nedomaće tržište 2019,99.7
i)Septembar,Index,Nedomaće tržište 2019,98.5
j)Oktobar,Index,Nedomaće tržište 2019,99.0
k)Novembar,Index,Nedomaće tržište 2019,98.6
l)Decembar,Index,Nedomaće tržište 2019,99.5
a)Januar,Index,Nedomaće tržište 2020,99.9
b)Februar,Index,Nedomaće tržište 2020,99.8
c)Mart,Index,Nedomaće tržište 2020,100.1
d)April,Index,Nedomaće tržište 2020,99.7
e)Maj,Index,Nedomaće tržište 2020,100.2
f)Juni,Index,Nedomaće tržište 2020,99.2
g)Juli,Index,Nedomaće tržište 2020,100.4
h)August,Index,Nedomaće tržište 2020,100.0
i)Septembar,Index,Nedomaće tržište 2020,100.4
j)Oktobar,Index,Nedomaće tržište 2020,99.8
k)Novembar,Index,Nedomaće tržište 2020,99.2
l)Decembar,Index,Nedomaće tržište 2020,100.4
a)Januar,Index,Nedomaće tržište 2021,100.6
b)Februar,Index,Nedomaće tržište 2021,101.5
c)Mart,Index,Nedomaće tržište 2021,101.1
