Year,UNIT_MEASURE,Tip,Value
a)Januar,Index,Ukupna trgovina na malo 2020,133.7
b)Februar,Index,Ukupna trgovina na malo 2020,137.5
c)Mart,Index,Ukupna trgovina na malo 2020,119.8
d)April,Index,Ukupna trgovina na malo 2020,85.0
e)Maj,Index,Ukupna trgovina na malo 2020,111.7
f)Juni,Index,Ukupna trgovina na malo 2020,120.8
g)Juli,Index,Ukupna trgovina na malo 2020,114.0
h)August,Index,Ukupna trgovina na malo 2020,11.7
i)Septembar,Index,Ukupna trgovina na malo 2020,121.5
j)Oktobar,Index,Ukupna trgovina na malo 2020,120.3
k)Novembar,Index,Ukupna trgovina na malo 2020,121.5
l)Decembar,Index,Ukupna trgovina na malo 2020,123.1
a)Januar,Index,Ukupna trgovina na malo 2021,128.7
b)Februar,Index,Ukupna trgovina na malo 2021,133.6
c)Mart,Index,Ukupna trgovina na malo 2021,129.9
