Year,UNIT_MEASURE,Tip,Value
a)2019 - 2020 Januar,Index,Porez na dodanu vrijednost,102.68
b)2019 - 2020 Februar,Index,Porez na dodanu vrijednost,108.04
c)2019 - 2020 Mart,Index,Porez na dodanu vrijednost,99.23
d)2019 - 2020 April,Index,Porez na dodanu vrijednost,76.73
e)2019 - 2020 Maj,Index,Porez na dodanu vrijednost,69.59
f)2019 - 2020 Juni,Index,Porez na dodanu vrijednost,93.0
g)2019 - 2020 Juli,Index,Porez na dodanu vrijednost,98.56
h)2019 - 2020 August,Index,Porez na dodanu vrijednost,84.9
a)2019 - 2020 Januar,Index,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",102.24
b)2019 - 2020 Februar,Index,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",109.0
c)2019 - 2020 Mart,Index,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",90.08
d)2019 - 2020 April,Index,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",56.7
e)2019 - 2020 Maj,Index,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",63.74
f)2019 - 2020 Juni,Index,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",89.74
g)2019 - 2020 Juli,Index,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",92.66
h)2019 - 2020 August,Index,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",82.75
a)2019 - 2020 Januar,Index,Akciza na uvozne proizvode,96.36
b)2019 - 2020 Februar,Index,Akciza na uvozne proizvode,124.3
c)2019 - 2020 Mart,Index,Akciza na uvozne proizvode,130.95
d)2019 - 2020 April,Index,Akciza na uvozne proizvode,101.58
e)2019 - 2020 Maj,Index,Akciza na uvozne proizvode,52.06
f)2019 - 2020 Juni,Index,Akciza na uvozne proizvode,96.95
g)2019 - 2020 Juli,Index,Akciza na uvozne proizvode,76.47
h)2019 - 2020 August,Index,Akciza na uvozne proizvode,75.01
a)2019 - 2020 Januar,Index,Akciza na domaće proizvode,39.08
b)2019 - 2020 Februar,Index,Akciza na domaće proizvode,37.23
c)2019 - 2020 Mart,Index,Akciza na domaće proizvode,79.14
d)2019 - 2020 April,Index,Akciza na domaće proizvode,13.29
e)2019 - 2020 Maj,Index,Akciza na domaće proizvode,30.71
f)2019 - 2020 Juni,Index,Akciza na domaće proizvode,66.47
g)2019 - 2020 Juli,Index,Akciza na domaće proizvode,73.22
h)2019 - 2020 August,Index,Akciza na domaće proizvode,83.15
a)2019 - 2020 Januar,Index,Posebna taksa (putarina) na naftne derivate,98.18
b)2019 - 2020 Februar,Index,Posebna taksa (putarina) na naftne derivate,106.13
c)2019 - 2020 Mart,Index,Posebna taksa (putarina) na naftne derivate,106.08
d)2019 - 2020 April,Index,Posebna taksa (putarina) na naftne derivate,66.56
e)2019 - 2020 Maj,Index,Posebna taksa (putarina) na naftne derivate,89.87
f)2019 - 2020 Juni,Index,Posebna taksa (putarina) na naftne derivate,95.43
g)2019 - 2020 Juli,Index,Posebna taksa (putarina) na naftne derivate,80.37
h)2019 - 2020 August,Index,Posebna taksa (putarina) na naftne derivate,75.88
a)2019 - 2020 Januar,Index,other income and charges,103.63
b)2019 - 2020 Februar,Index,other income and charges,101.1
c)2019 - 2020 Mart,Index,other income and charges,81.34
d)2019 - 2020 April,Index,other income and charges,82.57
e)2019 - 2020 Maj,Index,other income and charges,77.67
f)2019 - 2020 Juni,Index,other income and charges,86.03
g)2019 - 2020 Juli,Index,other income and charges,86.96
h)2019 - 2020 August,Index,other income and charges,107.15
a)2019 - 2020 Januar,Index,Ukupno,98.5
b)2019 - 2020 Februar,Index,Ukupno,108.88
c)2019 - 2020 Mart,Index,Ukupno,104.14
d)2019 - 2020 April,Index,Ukupno,77.33
e)2019 - 2020 Maj,Index,Ukupno,66.53
f)2019 - 2020 Juni,Index,Ukupno,93.06
g)2019 - 2020 Juli,Index,Ukupno,91.76
h)2019 - 2020 August,Index,Ukupno,82.2
