Year,UNIT_MEASURE,Tip,Value
a)Januar,NUMBER,Domaći turisti 2019,56765
b)Februar,NUMBER,Domaći turisti 2019,55730
c)Mart,NUMBER,Domaći turisti 2019,66202
d)April,NUMBER,Domaći turisti 2019,80856
e)Maj,NUMBER,Domaći turisti 2019,79316
f)Juni,NUMBER,Domaći turisti 2019,104676
g)Juli,NUMBER,Domaći turisti 2019,94123
h)August,NUMBER,Domaći turisti 2019,97360
i)Septembar,NUMBER,Domaći turisti 2019,87541
j)Oktobar,NUMBER,Domaći turisti 2019,86414
k)Novembar,NUMBER,Domaći turisti 2019,71485
l)Decembar,NUMBER,Domaći turisti 2019,73433
a)Januar,NUMBER,Domaći turisti 2020,59641
b)Februar,NUMBER,Domaći turisti 2020,58175
c)Mart,NUMBER,Domaći turisti 2020,33554
d)April,NUMBER,Domaći turisti 2020,5541
e)Maj,NUMBER,Domaći turisti 2020,12043
f)Juni,NUMBER,Domaći turisti 2020,41580
g)Juli,NUMBER,Domaći turisti 2020,111824
h)August,NUMBER,Domaći turisti 2020,156165
i)Septembar,NUMBER,Domaći turisti 2020,106510
j)Oktobar,NUMBER,Domaći turisti 2020,71043
k)Novembar,NUMBER,Domaći turisti 2020,42256
l)Decembar,NUMBER,Domaći turisti 2020,50737
a)Januar,NUMBER,Domaći turisti 2021,76322
b)Februar,NUMBER,Domaći turisti 2021,67623
c)Mart,NUMBER,Domaći turisti 2021,58299
a)Januar,NUMBER,Strani turisti 2019,101438
b)Februar,NUMBER,Strani turisti 2019,119941
c)Mart,NUMBER,Strani turisti 2019,131648
d)April,NUMBER,Strani turisti 2019,206455
e)Maj,NUMBER,Strani turisti 2019,207250
f)Juni,NUMBER,Strani turisti 2019,245762
g)Juli,NUMBER,Strani turisti 2019,330273
h)August,NUMBER,Strani turisti 2019,357593
i)Septembar,NUMBER,Strani turisti 2019,240968
j)Oktobar,NUMBER,Strani turisti 2019,240286
k)Novembar,NUMBER,Strani turisti 2019,119201
l)Decembar,NUMBER,Strani turisti 2019,119535
a)Januar,NUMBER,Strani turisti 2020,126406
b)Februar,NUMBER,Strani turisti 2020,112174
c)Mart,NUMBER,Strani turisti 2020,38437
d)April,NUMBER,Strani turisti 2020,2310
e)Maj,NUMBER,Strani turisti 2020,1670
f)Juni,NUMBER,Strani turisti 2020,13471
g)Juli,NUMBER,Strani turisti 2020,22763
h)August,NUMBER,Strani turisti 2020,51555
i)Septembar,NUMBER,Strani turisti 2020,34695
j)Oktobar,NUMBER,Strani turisti 2020,32422
k)Novembar,NUMBER,Strani turisti 2020,21795
l)Decembar,NUMBER,Strani turisti 2020,30201
a)Januar,NUMBER,Strani turisti 2021,45509
b)Februar,NUMBER,Strani turisti 2021,53100
c)Mart,NUMBER,Strani turisti 2021,40902
