Year,Value,UNIT_MEASURE,SERIES
2000,946,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2001,714,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2002,709,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2003,645,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2004,956,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2005,731,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2006,1196,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2007,1281,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2008,1295,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2009,580,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2010,936,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2011,668,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2012,1091,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2013,986,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2014,551,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2015,946,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2016,656,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2017,1008,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2018,993,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2019,690,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2020,790,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
2021,681,Milioni tekućih američkih dolara,"Ukupna razvojna pomoć, prema zemljama primaocima"
