Year,Value,UNIT_MEASURE,SERIES
2015,0.0402,Procenat,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2016,0.0473,Procenat,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2017,0.074,Procenat,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2018,0.0762,Procenat,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2019,0.2181,Procenat,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2020,0.0975,Procenat,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2015,0.0065,(milijarde nominalnih američkih dolara),Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2016,0.0079,(milijarde nominalnih američkih dolara),Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2017,0.0128,(milijarde nominalnih američkih dolara),Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2018,0.0173,(milijarde nominalnih američkih dolara),Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2019,0.0401,(milijarde nominalnih američkih dolara),Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2020,0.0154,(milijarde nominalnih američkih dolara),Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2015,1.9006,(nominalni američki dolari),Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2016,2.3362,(nominalni američki dolari),Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2017,3.8076,(nominalni američki dolari),Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2018,4.1058,(nominalni američki dolari),Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2019,12.1625,(nominalni američki dolari),Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2012,4.6957,(nominalni američki dolari),Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
