Year,UNIT_MEASURE,Type,Value
January,GWh,available for final consumption_2019,1241
February,GWh,available for final consumption_2019,1031
March,GWh,available for final consumption_2019,1066
April,GWh,available for final consumption_2019,993
May,GWh,available for final consumption_2019,1002
June,GWh,available for final consumption_2019,965
July,GWh,available for final consumption_2019,946
August,GWh,available for final consumption_2019,944
September,GWh,available for final consumption_2019,880
October,GWh,available for final consumption_2019,957
November,GWh,available for final consumption_2019,966
December,GWh,available for final consumption_2019,1114
January,GWh,available for final consumption_2020,1137
February,GWh,available for final consumption_2020,976
March,GWh,available for final consumption_2020,931
April,GWh,available for final consumption_2020,828
May,GWh,available for final consumption_2020,808
June,GWh,available for final consumption_2020,812
July,GWh,available for final consumption_2020,890
August,GWh,available for final consumption_2020,848
September,GWh,available for final consumption_2020,848
October,GWh,available for final consumption_2020,927
November,GWh,available for final consumption_2020,1020
December,GWh,available for final consumption_2020,1094
January,GWh,available for final consumption_2021,1086
February,GWh,available for final consumption_2021,963
