Year,UNIT_MEASURE,Type,Value
2019, Q1, %,non seasonal, 2.7
2019, Q2, %,non seasonal, 3.2
2019, Q3, %,non seasonal, 3.4
2019, Q4, %,non seasonal, 1.9
2020, Q1, %,non seasonal, 2.3
2020, Q2, %,non seasonal, -9.0
2020, Q3, %,non seasonal, -6.3
2020, Q4, %,non seasonal, -3.8
2019, Q1, %,seasonal, 0.4
2019, Q2, %,seasonal, 0.8
2019, Q3, %,seasonal, 0.9
2019, Q4, %,seasonal, 0.2
2020, Q1, %,seasonal, 0.5
2020, Q2, %,seasonal, -10.6
2020, Q3, %,seasonal, 4.1
2020, Q4, %,seasonal, 3.0
2019, Q1, %,final trend, 0.7
2019, Q2, %,final trend, 0.7
2019, Q3, %,final trend, 0.6
2019, Q4, %,final trend, 0.6
2020, Q1, %,final trend, 0.6
2020, Q2, %,final trend, 0.6
2020, Q3, %,final trend, 0.6
2020, Q4, %,final trend, 0.6
