Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SI_POV_EMP1,PT,Y_GE15,_T,0.24
2001,SI_POV_EMP1,PT,Y_GE15,_T,0.22
2002,SI_POV_EMP1,PT,Y_GE15,_T,0.19
2003,SI_POV_EMP1,PT,Y_GE15,_T,0.14
2004,SI_POV_EMP1,PT,Y_GE15,_T,0.05
2005,SI_POV_EMP1,PT,Y_GE15,_T,0.04
2006,SI_POV_EMP1,PT,Y_GE15,_T,0.03
2007,SI_POV_EMP1,PT,Y_GE15,_T,0.03
2008,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2009,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2010,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2012,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2013,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2014,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2015,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2016,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2017,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2018,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2019,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2020,SI_POV_EMP1,PT,Y_GE15,_T,0.1
2021,SI_POV_EMP1,PT,Y_GE15,_T,0.1
2022,SI_POV_EMP1,PT,Y_GE15,_T,0.1
2000,SI_POV_EMP1,PT,Y_GE15,F,0.32
2001,SI_POV_EMP1,PT,Y_GE15,F,0.29
2002,SI_POV_EMP1,PT,Y_GE15,F,0.25
2003,SI_POV_EMP1,PT,Y_GE15,F,0.19
2004,SI_POV_EMP1,PT,Y_GE15,F,0.07
2005,SI_POV_EMP1,PT,Y_GE15,F,0.05
2006,SI_POV_EMP1,PT,Y_GE15,F,0.04
2007,SI_POV_EMP1,PT,Y_GE15,F,0.04
2008,SI_POV_EMP1,PT,Y_GE15,F,0.08
2009,SI_POV_EMP1,PT,Y_GE15,F,0.09
2010,SI_POV_EMP1,PT,Y_GE15,F,0.08
2011,SI_POV_EMP1,PT,Y_GE15,F,0.08
2012,SI_POV_EMP1,PT,Y_GE15,F,0.08
2013,SI_POV_EMP1,PT,Y_GE15,F,0.08
2014,SI_POV_EMP1,PT,Y_GE15,F,0.08
2015,SI_POV_EMP1,PT,Y_GE15,F,0.08
2016,SI_POV_EMP1,PT,Y_GE15,F,0.08
2017,SI_POV_EMP1,PT,Y_GE15,F,0.08
2018,SI_POV_EMP1,PT,Y_GE15,F,0.08
2019,SI_POV_EMP1,PT,Y_GE15,F,0.08
2000,SI_POV_EMP1,PT,Y_GE15,M,0.19
2001,SI_POV_EMP1,PT,Y_GE15,M,0.18
2002,SI_POV_EMP1,PT,Y_GE15,M,0.15
2003,SI_POV_EMP1,PT,Y_GE15,M,0.12
2004,SI_POV_EMP1,PT,Y_GE15,M,0.04
2005,SI_POV_EMP1,PT,Y_GE15,M,0.03
2006,SI_POV_EMP1,PT,Y_GE15,M,0.02
2007,SI_POV_EMP1,PT,Y_GE15,M,0.03
2008,SI_POV_EMP1,PT,Y_GE15,M,0.06
2009,SI_POV_EMP1,PT,Y_GE15,M,0.06
2010,SI_POV_EMP1,PT,Y_GE15,M,0.06
2011,SI_POV_EMP1,PT,Y_GE15,M,0.06
2012,SI_POV_EMP1,PT,Y_GE15,M,0.06
2013,SI_POV_EMP1,PT,Y_GE15,M,0.06
2014,SI_POV_EMP1,PT,Y_GE15,M,0.06
2015,SI_POV_EMP1,PT,Y_GE15,M,0.06
2016,SI_POV_EMP1,PT,Y_GE15,M,0.06
2017,SI_POV_EMP1,PT,Y_GE15,M,0.06
2018,SI_POV_EMP1,PT,Y_GE15,M,0.06
2019,SI_POV_EMP1,PT,Y_GE15,M,0.06
2000,SI_POV_EMP1,PT,Y15T24,_T,0.58
2001,SI_POV_EMP1,PT,Y15T24,_T,0.54
2002,SI_POV_EMP1,PT,Y15T24,_T,0.47
2003,SI_POV_EMP1,PT,Y15T24,_T,0.36
2004,SI_POV_EMP1,PT,Y15T24,_T,0.13
2005,SI_POV_EMP1,PT,Y15T24,_T,0.1
2006,SI_POV_EMP1,PT,Y15T24,_T,0.08
2007,SI_POV_EMP1,PT,Y15T24,_T,0.08
2008,SI_POV_EMP1,PT,Y15T24,_T,0.17
2009,SI_POV_EMP1,PT,Y15T24,_T,0.18
2010,SI_POV_EMP1,PT,Y15T24,_T,0.18
2011,SI_POV_EMP1,PT,Y15T24,_T,0.18
2012,SI_POV_EMP1,PT,Y15T24,_T,0.18
2013,SI_POV_EMP1,PT,Y15T24,_T,0.18
2014,SI_POV_EMP1,PT,Y15T24,_T,0.19
2015,SI_POV_EMP1,PT,Y15T24,_T,0.18
2016,SI_POV_EMP1,PT,Y15T24,_T,0.17
2017,SI_POV_EMP1,PT,Y15T24,_T,0.17
2018,SI_POV_EMP1,PT,Y15T24,_T,0.16
2019,SI_POV_EMP1,PT,Y15T24,_T,0.19
2000,SI_POV_EMP1,PT,Y15T24,F,1.41
2001,SI_POV_EMP1,PT,Y15T24,F,1.29
2002,SI_POV_EMP1,PT,Y15T24,F,1.14
2003,SI_POV_EMP1,PT,Y15T24,F,0.88
2004,SI_POV_EMP1,PT,Y15T24,F,0.32
2005,SI_POV_EMP1,PT,Y15T24,F,0.25
2006,SI_POV_EMP1,PT,Y15T24,F,0.19
2007,SI_POV_EMP1,PT,Y15T24,F,0.2
2008,SI_POV_EMP1,PT,Y15T24,F,0.42
2009,SI_POV_EMP1,PT,Y15T24,F,0.47
2010,SI_POV_EMP1,PT,Y15T24,F,0.45
2011,SI_POV_EMP1,PT,Y15T24,F,0.46
2012,SI_POV_EMP1,PT,Y15T24,F,0.46
2013,SI_POV_EMP1,PT,Y15T24,F,0.47
2014,SI_POV_EMP1,PT,Y15T24,F,0.45
2015,SI_POV_EMP1,PT,Y15T24,F,0.47
2016,SI_POV_EMP1,PT,Y15T24,F,0.45
2017,SI_POV_EMP1,PT,Y15T24,F,0.45
2018,SI_POV_EMP1,PT,Y15T24,F,0.45
2019,SI_POV_EMP1,PT,Y15T24,F,0.43
2000,SI_POV_EMP1,PT,Y15T24,M,0.11
2001,SI_POV_EMP1,PT,Y15T24,M,0.1
2002,SI_POV_EMP1,PT,Y15T24,M,0.08
2003,SI_POV_EMP1,PT,Y15T24,M,0.06
2004,SI_POV_EMP1,PT,Y15T24,M,0.02
2005,SI_POV_EMP1,PT,Y15T24,M,0.02
2006,SI_POV_EMP1,PT,Y15T24,M,0.01
2007,SI_POV_EMP1,PT,Y15T24,M,0.01
2008,SI_POV_EMP1,PT,Y15T24,M,0.03
2009,SI_POV_EMP1,PT,Y15T24,M,0.04
2010,SI_POV_EMP1,PT,Y15T24,M,0.03
2011,SI_POV_EMP1,PT,Y15T24,M,0.03
2012,SI_POV_EMP1,PT,Y15T24,M,0.03
2013,SI_POV_EMP1,PT,Y15T24,M,0.03
2014,SI_POV_EMP1,PT,Y15T24,M,0.03
2015,SI_POV_EMP1,PT,Y15T24,M,0.03
2016,SI_POV_EMP1,PT,Y15T24,M,0.03
2017,SI_POV_EMP1,PT,Y15T24,M,0.03
2018,SI_POV_EMP1,PT,Y15T24,M,0.03
2019,SI_POV_EMP1,PT,Y15T24,M,0.03
2000,SI_POV_EMP1,PT,Y_GE25,_T,0.2
2001,SI_POV_EMP1,PT,Y_GE25,_T,0.18
2002,SI_POV_EMP1,PT,Y_GE25,_T,0.16
