Year,SERIES,UNIT_MEASURE,Value
2015,ER_FFS_CMPT_GDP,PT,0.02267
2016,ER_FFS_CMPT_GDP,PT,0.02819
2017,ER_FFS_CMPT_GDP,PT,0.05771
2018,ER_FFS_CMPT_GDP,PT,0.08685
2019,ER_FFS_CMPT_GDP,PT,0.42727
2020,ER_FFS_CMPT_GDP,PT,0.34182
2021,ER_FFS_CMPT_GDP,PT,0.87877
2022,ER_FFS_CMPT_GDP,PT,1.60099
2015,ER_FFS_CMPT_CD,CU_USD_B,0.00372
2016,ER_FFS_CMPT_CD,CU_USD_B,0.00477
2017,ER_FFS_CMPT_CD,CU_USD_B,0.01009
2018,ER_FFS_CMPT_CD,CU_USD_B,0.01577
2019,ER_FFS_CMPT_CD,CU_USD_B,0.07981
2020,ER_FFS_CMPT_CD,CU_USD_B,0.06192
2021,ER_FFS_CMPT_CD,CU_USD_B,0.17097
2022,ER_FFS_CMPT_CD,CU_USD_B,0.32464
2015,ER_FFS_CMPT_PC_CD,CU_USD,1.0554
2016,ER_FFS_CMPT_PC_CD,CU_USD,1.3713
2017,ER_FFS_CMPT_PC_CD,CU_USD,2.93358
2018,ER_FFS_CMPT_PC_CD,CU_USD,4.63745
2019,ER_FFS_CMPT_PC_CD,CU_USD,23.74803
2020,ER_FFS_CMPT_PC_CD,CU_USD,18.66074
2021,ER_FFS_CMPT_PC_CD,CU_USD,52.26783
2022,ER_FFS_CMPT_PC_CD,CU_USD,100.39731
