Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2014,VC_HTF_DETVFL,NUMBER,F,Y0T17,0
2015,VC_HTF_DETVFL,NUMBER,F,Y0T17,0
2014,VC_HTF_DETVFL,NUMBER,M,Y0T17,0
2015,VC_HTF_DETVFL,NUMBER,M,Y0T17,0
2014,VC_HTF_DETVFL,NUMBER,F,Y_GE18,3
2015,VC_HTF_DETVFL,NUMBER,F,Y_GE18,0
2014,VC_HTF_DETVFL,NUMBER,M,Y_GE18,0
2015,VC_HTF_DETVFL,NUMBER,M,Y_GE18,0
2010,VC_HTF_DETVFL,NUMBER,F,_T,14
2011,VC_HTF_DETVFL,NUMBER,F,_T,4
2012,VC_HTF_DETVFL,NUMBER,F,_T,10
2014,VC_HTF_DETVFL,NUMBER,F,_T,3
2015,VC_HTF_DETVFL,NUMBER,F,_T,0
2010,VC_HTF_DETVFL,NUMBER,M,_T,3
2011,VC_HTF_DETVFL,NUMBER,M,_T,6
2012,VC_HTF_DETVFL,NUMBER,M,_T,3
2014,VC_HTF_DETVFL,NUMBER,M,_T,0
2015,VC_HTF_DETVFL,NUMBER,M,_T,0
2005,VC_HTF_DETVOP,NUMBER,F,Y0T17,0
2006,VC_HTF_DETVOP,NUMBER,F,Y0T17,0
2007,VC_HTF_DETVOP,NUMBER,F,Y0T17,0
2008,VC_HTF_DETVOP,NUMBER,F,Y0T17,0
2009,VC_HTF_DETVOP,NUMBER,F,Y0T17,0
2010,VC_HTF_DETVOP,NUMBER,F,Y0T17,0
2011,VC_HTF_DETVOP,NUMBER,F,Y0T17,0
2012,VC_HTF_DETVOP,NUMBER,F,Y0T17,0
2014,VC_HTF_DETVOP,NUMBER,F,Y0T17,18
2015,VC_HTF_DETVOP,NUMBER,F,Y0T17,10
2005,VC_HTF_DETVOP,NUMBER,M,Y0T17,0
2006,VC_HTF_DETVOP,NUMBER,M,Y0T17,0
2007,VC_HTF_DETVOP,NUMBER,M,Y0T17,0
2008,VC_HTF_DETVOP,NUMBER,M,Y0T17,0
2009,VC_HTF_DETVOP,NUMBER,M,Y0T17,0
2010,VC_HTF_DETVOP,NUMBER,M,Y0T17,0
2011,VC_HTF_DETVOP,NUMBER,M,Y0T17,0
2012,VC_HTF_DETVOP,NUMBER,M,Y0T17,0
2014,VC_HTF_DETVOP,NUMBER,M,Y0T17,13
2015,VC_HTF_DETVOP,NUMBER,M,Y0T17,3
2005,VC_HTF_DETVOP,NUMBER,F,Y_GE18,0
2006,VC_HTF_DETVOP,NUMBER,F,Y_GE18,0
2007,VC_HTF_DETVOP,NUMBER,F,Y_GE18,0
2008,VC_HTF_DETVOP,NUMBER,F,Y_GE18,0
2009,VC_HTF_DETVOP,NUMBER,F,Y_GE18,0
2010,VC_HTF_DETVOP,NUMBER,F,Y_GE18,0
2011,VC_HTF_DETVOP,NUMBER,F,Y_GE18,0
2012,VC_HTF_DETVOP,NUMBER,F,Y_GE18,0
2014,VC_HTF_DETVOP,NUMBER,F,Y_GE18,4
2015,VC_HTF_DETVOP,NUMBER,F,Y_GE18,6
2005,VC_HTF_DETVOP,NUMBER,M,Y_GE18,0
2006,VC_HTF_DETVOP,NUMBER,M,Y_GE18,0
2007,VC_HTF_DETVOP,NUMBER,M,Y_GE18,0
2008,VC_HTF_DETVOP,NUMBER,M,Y_GE18,0
2009,VC_HTF_DETVOP,NUMBER,M,Y_GE18,0
2010,VC_HTF_DETVOP,NUMBER,M,Y_GE18,0
2011,VC_HTF_DETVOP,NUMBER,M,Y_GE18,0
2012,VC_HTF_DETVOP,NUMBER,M,Y_GE18,0
2014,VC_HTF_DETVOP,NUMBER,M,Y_GE18,1
2015,VC_HTF_DETVOP,NUMBER,M,Y_GE18,5
2005,VC_HTF_DETVOP,NUMBER,_T,_T,0
2006,VC_HTF_DETVOP,NUMBER,_T,_T,0
2007,VC_HTF_DETVOP,NUMBER,_T,_T,0
2008,VC_HTF_DETVOP,NUMBER,_T,_T,0
2009,VC_HTF_DETVOP,NUMBER,_T,_T,0
2010,VC_HTF_DETVOP,NUMBER,_T,_T,0
2011,VC_HTF_DETVOP,NUMBER,_T,_T,0
2012,VC_HTF_DETVOP,NUMBER,_T,_T,0
2014,VC_HTF_DETVOP,NUMBER,_T,_T,36
2015,VC_HTF_DETVOP,NUMBER,_T,_T,28
2016,VC_HTF_DETVOP,NUMBER,_T,_T,23
2005,VC_HTF_DETVOP,NUMBER,F,_T,0
2006,VC_HTF_DETVOP,NUMBER,F,_T,0
2007,VC_HTF_DETVOP,NUMBER,F,_T,0
2008,VC_HTF_DETVOP,NUMBER,F,_T,0
2009,VC_HTF_DETVOP,NUMBER,F,_T,0
2010,VC_HTF_DETVOP,NUMBER,F,_T,0
2011,VC_HTF_DETVOP,NUMBER,F,_T,0
2012,VC_HTF_DETVOP,NUMBER,F,_T,0
2014,VC_HTF_DETVOP,NUMBER,F,_T,22
2015,VC_HTF_DETVOP,NUMBER,F,_T,20
2005,VC_HTF_DETVOP,NUMBER,M,_T,0
2006,VC_HTF_DETVOP,NUMBER,M,_T,0
2007,VC_HTF_DETVOP,NUMBER,M,_T,0
2008,VC_HTF_DETVOP,NUMBER,M,_T,0
