Year,SERIES,UNIT_MEASURE,SEX,AGE,COMPOSITE_BREAKDOWN,Value
2020,SG_DMK_PARLCC_LC,NUMBER,_X,_X,PC_DEFENCE,0
2020,SG_DMK_PARLCC_LC,NUMBER,_X,_X,PC_HUM_RIGH,0
2020,SG_DMK_PARLCC_LC,NUMBER,M,Y_GE46,PC_FINANCE,1
2020,SG_DMK_PARLCC_LC,NUMBER,M,Y_GE46,PC_FOR_AFF,1
2020,SG_DMK_PARLCC_LC,NUMBER,M,Y_GE46,PC_GEN_EQU,1
2020,SG_DMK_PARLCC_UC,NUMBER,_U,_U,PC_DEFENCE,1
2020,SG_DMK_PARLCC_UC,NUMBER,_U,_U,PC_FINANCE,1
2020,SG_DMK_PARLCC_UC,NUMBER,_U,_U,PC_FOR_AFF,1
2020,SG_DMK_PARLCC_UC,NUMBER,_U,_U,PC_GEN_EQU,1
2020,SG_DMK_PARLCC_UC,NUMBER,_U,_U,PC_HUM_RIGH,1
2020,SG_DMK_PARLSP_LC,NUMBER,F,Y_GE46,,1
2020,SG_DMK_PARLSP_LC,NUMBER,M,Y_GE46,,2
2020,SG_DMK_PARLSP_UC,NUMBER,M,Y_GE46,,3
2020,SG_DMK_PARLMP_LC,RO,,,,0.41605632000319737
2020,SG_DMK_PARLMP_UC,RO,,,,0.38829334577993219
