Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2015,SG_INT_MBRDEV,PT,IO_IBRD,0.5319
2016,SG_INT_MBRDEV,PT,IO_IBRD,0.5319
2017,SG_INT_MBRDEV,PT,IO_IBRD,0.5291
2018,SG_INT_MBRDEV,PT,IO_IBRD,0.5291
2019,SG_INT_MBRDEV,PT,IO_IBRD,0.5291
2020,SG_INT_MBRDEV,PT,IO_IBRD,0.5291
2021,SG_INT_MBRDEV,PT,IO_IBRD,0.5291
2022,SG_INT_MBRDEV,PT,IO_IBRD,0.5291
2015,SG_INT_MBRDEV,PT,IO_IFC,0.5435
2016,SG_INT_MBRDEV,PT,IO_IFC,0.5435
2017,SG_INT_MBRDEV,PT,IO_IFC,0.5435
2018,SG_INT_MBRDEV,PT,IO_IFC,0.5435
2019,SG_INT_MBRDEV,PT,IO_IFC,0.5435
2020,SG_INT_MBRDEV,PT,IO_IFC,0.5405
2021,SG_INT_MBRDEV,PT,IO_IFC,0.5405
2022,SG_INT_MBRDEV,PT,IO_IFC,0.5376
2015,SG_INT_MBRDEV,PT,IO_IMF,0.5319
2016,SG_INT_MBRDEV,PT,IO_IMF,0.5319
2017,SG_INT_MBRDEV,PT,IO_IMF,0.5291
2018,SG_INT_MBRDEV,PT,IO_IMF,0.5291
2019,SG_INT_MBRDEV,PT,IO_IMF,0.5291
2020,SG_INT_MBRDEV,PT,IO_IMF,0.5291
2021,SG_INT_MBRDEV,PT,IO_IMF,0.5263
2022,SG_INT_MBRDEV,PT,IO_IMF,0.5263
2015,SG_INT_MBRDEV,PT,IO_UNGA,0.5181
2016,SG_INT_MBRDEV,PT,IO_UNGA,0.5181
2017,SG_INT_MBRDEV,PT,IO_UNGA,0.5181
2018,SG_INT_MBRDEV,PT,IO_UNGA,0.5181
2019,SG_INT_MBRDEV,PT,IO_UNGA,0.5181
2020,SG_INT_MBRDEV,PT,IO_UNGA,0.5181
2021,SG_INT_MBRDEV,PT,IO_UNGA,0.5181
2022,SG_INT_MBRDEV,PT,IO_UNGA,0.5181
2010,SG_INT_MBRDEV,PT,IO_UNSC,
2000,SG_INT_VRTDEV,PT,IO_IBRD,0.0496
2005,SG_INT_VRTDEV,PT,IO_IBRD,0.0494
2010,SG_INT_VRTDEV,PT,IO_IBRD,0.0493
2015,SG_INT_VRTDEV,PT,IO_IBRD,0.0543
2016,SG_INT_VRTDEV,PT,IO_IBRD,0.5
2017,SG_INT_VRTDEV,PT,IO_IBRD,0.057
2018,SG_INT_VRTDEV,PT,IO_IBRD,0.0637
2019,SG_INT_VRTDEV,PT,IO_IBRD,0.063
2020,SG_INT_VRTDEV,PT,IO_IBRD,0.0621
2021,SG_INT_VRTDEV,PT,IO_IBRD,0.0632
2022,SG_INT_VRTDEV,PT,IO_IBRD,0.0634
2000,SG_INT_VRTDEV,PT,IO_IFC,0.0362
2005,SG_INT_VRTDEV,PT,IO_IFC,0.0363
2010,SG_INT_VRTDEV,PT,IO_IFC,0.036
2015,SG_INT_VRTDEV,PT,IO_IFC,0.053
2016,SG_INT_VRTDEV,PT,IO_IFC,0.053
2017,SG_INT_VRTDEV,PT,IO_IFC,0.053
2018,SG_INT_VRTDEV,PT,IO_IFC,0.053
2019,SG_INT_VRTDEV,PT,IO_IFC,0.0525
2020,SG_INT_VRTDEV,PT,IO_IFC,0.0528
2021,SG_INT_VRTDEV,PT,IO_IFC,0.0568
2022,SG_INT_VRTDEV,PT,IO_IFC,0.0607
2000,SG_INT_VRTDEV,PT,IO_IMF,0.0907
2005,SG_INT_VRTDEV,PT,IO_IMF,0.0892
2010,SG_INT_VRTDEV,PT,IO_IMF,0.0877
2015,SG_INT_VRTDEV,PT,IO_IMF,0.0964
2016,SG_INT_VRTDEV,PT,IO_IMF,0.063
2017,SG_INT_VRTDEV,PT,IO_IMF,0.0818
2018,SG_INT_VRTDEV,PT,IO_IMF,0.0818
2019,SG_INT_VRTDEV,PT,IO_IMF,0.0818
2020,SG_INT_VRTDEV,PT,IO_IMF,0.0818
2021,SG_INT_VRTDEV,PT,IO_IMF,0.0816
2022,SG_INT_VRTDEV,PT,IO_IMF,0.0822
2000,SG_INT_VRTDEV,PT,IO_UNGA,0.5291
2005,SG_INT_VRTDEV,PT,IO_UNGA,0.5236
2010,SG_INT_VRTDEV,PT,IO_UNGA,0.5208
2015,SG_INT_VRTDEV,PT,IO_UNGA,0.5181
2016,SG_INT_VRTDEV,PT,IO_UNGA,0.5181
2017,SG_INT_VRTDEV,PT,IO_UNGA,0.5181
2018,SG_INT_VRTDEV,PT,IO_UNGA,0.5181
2019,SG_INT_VRTDEV,PT,IO_UNGA,0.5181
2020,SG_INT_VRTDEV,PT,IO_UNGA,0.5181
2021,SG_INT_VRTDEV,PT,IO_UNGA,0.5181
2022,SG_INT_VRTDEV,PT,IO_UNGA,0.5181
2010,SG_INT_VRTDEV,PT,IO_UNSC,6.6667
