Year,SERIES,UNIT_MEASURE,Value
2000,BX_TRF_PWKR,PT,28.7139
2001,BX_TRF_PWKR,PT,26.0918
2002,BX_TRF_PWKR,PT,22.4884
2003,BX_TRF_PWKR,PT,20.7661
2004,BX_TRF_PWKR,PT,19.3768
2005,BX_TRF_PWKR,PT,18.1568
2006,BX_TRF_PWKR,PT,16.7043
2007,BX_TRF_PWKR,PT,17.0255
2008,BX_TRF_PWKR,PT,14.2191
2009,BX_TRF_PWKR,PT,12.0759
2010,BX_TRF_PWKR,PT,10.6091
2011,BX_TRF_PWKR,PT,10.5029
2012,BX_TRF_PWKR,PT,10.7142
2013,BX_TRF_PWKR,PT,10.7709
2014,BX_TRF_PWKR,PT,11.3541
2015,BX_TRF_PWKR,PT,11.1101
2016,BX_TRF_PWKR,PT,10.9144
2017,BX_TRF_PWKR,PT,11.1552
2018,BX_TRF_PWKR,PT,11.2115
2019,BX_TRF_PWKR,PT,11.2140
