Year,SERIES,UNIT_MEASURE,AGE,SEX,Substance_use_disorders,Value
2016,SH_SUD_ALCOL,PT,Y_GE15,_T,,6
2016,SH_SUD_ALCOL,PT,Y_GE15,F,,2.2
2016,SH_SUD_ALCOL,PT,Y_GE15,M,,9.8
2017,SH_SUD_TREAT,PT,,_T,ATS,0.39
2018,SH_SUD_TREAT,PT,,_T,ATS,0.44
2019,SH_SUD_TREAT,PT,,_T,ATS,0.45
2017,SH_SUD_TREAT,PT,,F,ATS,0.08
2018,SH_SUD_TREAT,PT,,F,ATS,0.09
2019,SH_SUD_TREAT,PT,,F,ATS,0.09
2017,SH_SUD_TREAT,PT,,M,ATS,0.69
2018,SH_SUD_TREAT,PT,,M,ATS,0.80
2019,SH_SUD_TREAT,PT,,M,ATS,0.83
2017,SH_SUD_TREAT,PT,,_T,COCAINE,0.55
2018,SH_SUD_TREAT,PT,,_T,COCAINE,0.55
2019,SH_SUD_TREAT,PT,,_T,COCAINE,0.56
2017,SH_SUD_TREAT,PT,,M,COCAINE,0.81
2018,SH_SUD_TREAT,PT,,M,COCAINE,0.83
2019,SH_SUD_TREAT,PT,,M,COCAINE,0.85
2019,SH_SUD_TREAT,PT,,_T,DRUG_TOTAL,4.5
2019,SH_SUD_TREAT,PT,,F,DRUG_TOTAL,1.1
2019,SH_SUD_TREAT,PT,,M,DRUG_TOTAL,6.63
2019,SH_SUD_TREAT,PT,,_T,OPIOIDS,13.1
