Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SH_PRV_SMOK,PT,Y_GE15,_T,46.6
2005,SH_PRV_SMOK,PT,Y_GE15,_T,43.4
2010,SH_PRV_SMOK,PT,Y_GE15,_T,40.3
2015,SH_PRV_SMOK,PT,Y_GE15,_T,37.7
2018,SH_PRV_SMOK,PT,Y_GE15,_T,35.5
2019,SH_PRV_SMOK,PT,Y_GE15,_T,35.5
2020,SH_PRV_SMOK,PT,Y_GE15,_T,35.0
2000,SH_PRV_SMOK,PT,Y_GE15,F,35
2005,SH_PRV_SMOK,PT,Y_GE15,F,33.2
2010,SH_PRV_SMOK,PT,Y_GE15,F,31.2
2015,SH_PRV_SMOK,PT,Y_GE15,F,29.8
2018,SH_PRV_SMOK,PT,Y_GE15,F,28.8
2019,SH_PRV_SMOK,PT,Y_GE15,F,28.3
2020,SH_PRV_SMOK,PT,Y_GE15,F,28.0
2000,SH_PRV_SMOK,PT,Y_GE15,M,58.2
2005,SH_PRV_SMOK,PT,Y_GE15,M,53.5
2010,SH_PRV_SMOK,PT,Y_GE15,M,49.3
2015,SH_PRV_SMOK,PT,Y_GE15,M,45.6
2018,SH_PRV_SMOK,PT,Y_GE15,M,43.2
2019,SH_PRV_SMOK,PT,Y_GE15,M,42.6
2020,SH_PRV_SMOK,PT,Y_GE15,M,42.0
