Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,SH_IHR_CAPS,PT,IHR_01,75
2011,SH_IHR_CAPS,PT,IHR_01,75
2014,SH_IHR_CAPS,PT,IHR_01,75
2015,SH_IHR_CAPS,PT,IHR_01,100
2016,SH_IHR_CAPS,PT,IHR_01,100
2017,SH_IHR_CAPS,PT,IHR_01,100
2010,SH_IHR_CAPS,PT,IHR_02,40
2011,SH_IHR_CAPS,PT,IHR_02,73
2014,SH_IHR_CAPS,PT,IHR_02,73
2015,SH_IHR_CAPS,PT,IHR_02,30
2016,SH_IHR_CAPS,PT,IHR_02,30
2017,SH_IHR_CAPS,PT,IHR_02,30
2010,SH_IHR_CAPS,PT,IHR_03,48
2011,SH_IHR_CAPS,PT,IHR_03,85
2014,SH_IHR_CAPS,PT,IHR_03,65
2015,SH_IHR_CAPS,PT,IHR_03,80
2016,SH_IHR_CAPS,PT,IHR_03,75
2017,SH_IHR_CAPS,PT,IHR_03,75
2010,SH_IHR_CAPS,PT,IHR_04,32
2011,SH_IHR_CAPS,PT,IHR_04,57
2014,SH_IHR_CAPS,PT,IHR_04,53
2015,SH_IHR_CAPS,PT,IHR_04,60
2016,SH_IHR_CAPS,PT,IHR_04,72
2017,SH_IHR_CAPS,PT,IHR_04,72
2010,SH_IHR_CAPS,PT,IHR_05,33
2011,SH_IHR_CAPS,PT,IHR_05,30
2014,SH_IHR_CAPS,PT,IHR_05,25
2015,SH_IHR_CAPS,PT,IHR_05,45
2016,SH_IHR_CAPS,PT,IHR_05,55
2017,SH_IHR_CAPS,PT,IHR_05,63
2010,SH_IHR_CAPS,PT,IHR_06,20
2011,SH_IHR_CAPS,PT,IHR_06,57
2014,SH_IHR_CAPS,PT,IHR_06,86
2015,SH_IHR_CAPS,PT,IHR_06,57
2016,SH_IHR_CAPS,PT,IHR_06,71
2017,SH_IHR_CAPS,PT,IHR_06,71
2010,SH_IHR_CAPS,PT,IHR_07,0
2011,SH_IHR_CAPS,PT,IHR_07,0
2014,SH_IHR_CAPS,PT,IHR_07,20
2015,SH_IHR_CAPS,PT,IHR_07,20
2016,SH_IHR_CAPS,PT,IHR_07,20
2017,SH_IHR_CAPS,PT,IHR_07,20
2010,SH_IHR_CAPS,PT,IHR_08,43
2011,SH_IHR_CAPS,PT,IHR_08,40
2014,SH_IHR_CAPS,PT,IHR_08,59
2015,SH_IHR_CAPS,PT,IHR_08,49
2016,SH_IHR_CAPS,PT,IHR_08,62
2017,SH_IHR_CAPS,PT,IHR_08,62
2010,SH_IHR_CAPS,PT,IHR_09,26
2011,SH_IHR_CAPS,PT,IHR_09,0
2014,SH_IHR_CAPS,PT,IHR_09,0
2015,SH_IHR_CAPS,PT,IHR_09,0
2016,SH_IHR_CAPS,PT,IHR_09,0
2017,SH_IHR_CAPS,PT,IHR_09,0
2010,SH_IHR_CAPS,PT,IHR_10,76
2011,SH_IHR_CAPS,PT,IHR_10,56
2014,SH_IHR_CAPS,PT,IHR_10,78
2015,SH_IHR_CAPS,PT,IHR_10,67
2016,SH_IHR_CAPS,PT,IHR_10,44
2017,SH_IHR_CAPS,PT,IHR_10,44
2010,SH_IHR_CAPS,PT,IHR_11,100
2011,SH_IHR_CAPS,PT,IHR_11,75
2014,SH_IHR_CAPS,PT,IHR_11,100
2015,SH_IHR_CAPS,PT,IHR_11,100
2016,SH_IHR_CAPS,PT,IHR_11,100
2017,SH_IHR_CAPS,PT,IHR_11,93
2010,SH_IHR_CAPS,PT,IHR_12,7
2011,SH_IHR_CAPS,PT,IHR_12,8
2014,SH_IHR_CAPS,PT,IHR_12,38
2015,SH_IHR_CAPS,PT,IHR_12,38
2016,SH_IHR_CAPS,PT,IHR_12,46
2017,SH_IHR_CAPS,PT,IHR_12,54
2010,SH_IHR_CAPS,PT,IHR_13,0
2011,SH_IHR_CAPS,PT,IHR_13,25
2014,SH_IHR_CAPS,PT,IHR_13,54
2015,SH_IHR_CAPS,PT,IHR_13,69
2016,SH_IHR_CAPS,PT,IHR_13,62
2017,SH_IHR_CAPS,PT,IHR_13,69
2018,SH_IHR_CAPS,PT,SPAR_01,60
2019,SH_IHR_CAPS,PT,SPAR_01,60
2018,SH_IHR_CAPS,PT,SPAR_02,30
2019,SH_IHR_CAPS,PT,SPAR_02,40
2018,SH_IHR_CAPS,PT,SPAR_03,20
2019,SH_IHR_CAPS,PT,SPAR_03,20
2018,SH_IHR_CAPS,PT,SPAR_04,80
2019,SH_IHR_CAPS,PT,SPAR_04,80
2018,SH_IHR_CAPS,PT,SPAR_05,33
2019,SH_IHR_CAPS,PT,SPAR_05,47
2018,SH_IHR_CAPS,PT,SPAR_06,20
2019,SH_IHR_CAPS,PT,SPAR_06,30
2018,SH_IHR_CAPS,PT,SPAR_07,20
2019,SH_IHR_CAPS,PT,SPAR_07,20
2018,SH_IHR_CAPS,PT,SPAR_08,27
2019,SH_IHR_CAPS,PT,SPAR_08,27
2018,SH_IHR_CAPS,PT,SPAR_09,33
2019,SH_IHR_CAPS,PT,SPAR_09,33
2018,SH_IHR_CAPS,PT,SPAR_10,20
2019,SH_IHR_CAPS,PT,SPAR_10,20
2018,SH_IHR_CAPS,PT,SPAR_11,0
2019,SH_IHR_CAPS,PT,SPAR_11,0
2018,SH_IHR_CAPS,PT,SPAR_12,20
2019,SH_IHR_CAPS,PT,SPAR_12,40
2018,SH_IHR_CAPS,PT,SPAR_13,60
2019,SH_IHR_CAPS,PT,SPAR_13,40
