Year,SERIES,UNIT_MEASURE,EDUCATION_LEV,SEX,COMPOSITE_BREAKDOWN,Value
2018,SE_TOT_PRFL,PT,LOWSEC,BOTHSEX,SKILL_MATH,42.44
2018,SE_TOT_PRFL,PT,LOWSEC,BOTHSEX,SKILL_READ,46.32
2018,SE_TOT_PRFL,PT,LOWSEC,M,SKILL_READ,38.29
2018,SE_TOT_PRFL,PT,LOWSEC,F,SKILL_READ,54.77
2019,SE_TOT_PRFL,PT,PRIMAR,F,SKILL_MATH,36.47
2023,SE_TOT_PRFL,PT,PRIMAR,F,SKILL_MATH,35.92
2019,SE_TOT_PRFL,PT,PRIMAR,M,SKILL_MATH,42.57
2023,SE_TOT_PRFL,PT,PRIMAR,M,SKILL_MATH,39.23
2019,SE_TOT_PRFL,PT,PRIMAR,BOTHSEX,SKILL_MATH,39.55
2023,SE_TOT_PRFL,PT,PRIMAR,BOTHSEX,SKILL_MATH,37.59
