Year,SERIES,UNIT_MEASURE,SEX,Type_of_skill,AGE,URBANISATION,Value
2017,SE_ADT_ACTS,PT,_T,ARSP,Y15T24,ALLAREA,25.3
2019,SE_ADT_ACTS,PT,_T,ARSP,Y15T24,ALLAREA,15.7
2017,SE_ADT_ACTS,PT,F,ARSP,Y15T24,ALLAREA,28.3
2019,SE_ADT_ACTS,PT,F,ARSP,Y15T24,ALLAREA,19.2
2017,SE_ADT_ACTS,PT,M,ARSP,Y15T24,ALLAREA,22.8
2019,SE_ADT_ACTS,PT,M,ARSP,Y15T24,ALLAREA,14.4
2017,SE_ADT_ACTS,PT,_T,COPA,Y15T24,ALLAREA,60.9
2019,SE_ADT_ACTS,PT,_T,COPA,Y15T24,ALLAREA,58.7
2021,SE_ADT_ACTS,PT,_T,COPA,Y15T24,ALLAREA,75.1
2023,SE_ADT_ACTS,PT,_T,COPA,Y15T24,ALLAREA,88.5
2017,SE_ADT_ACTS,PT,F,COPA,Y15T24,ALLAREA,60.9
2019,SE_ADT_ACTS,PT,F,COPA,Y15T24,ALLAREA,58.7
2021,SE_ADT_ACTS,PT,F,COPA,Y15T24,ALLAREA,74.3
2023,SE_ADT_ACTS,PT,F,COPA,Y15T24,ALLAREA,89.7
2017,SE_ADT_ACTS,PT,M,COPA,Y15T24,ALLAREA,59.2
2019,SE_ADT_ACTS,PT,M,COPA,Y15T24,ALLAREA,58.7
2021,SE_ADT_ACTS,PT,M,COPA,Y15T24,ALLAREA,76.1
2023,SE_ADT_ACTS,PT,M,COPA,Y15T24,ALLAREA,87.7
2017,SE_ADT_ACTS,PT,_T,DLDONLD,Y15T24,ALLAREA,6.1
2019,SE_ADT_ACTS,PT,_T,DLDONLD,Y15T24,ALLAREA,81.2
2020,SE_ADT_ACTS,PT,_T,DLDONLD,Y15T24,ALLAREA,72.7
2021,SE_ADT_ACTS,PT,_T,DLDONLD,Y15T24,ALLAREA,72.3
2023,SE_ADT_ACTS,PT,_T,DLDONLD,Y15T24,ALLAREA,89.9
2017,SE_ADT_ACTS,PT,F,DLDONLD,Y15T24,ALLAREA,5.2
2019,SE_ADT_ACTS,PT,F,DLDONLD,Y15T24,ALLAREA,76.6
2020,SE_ADT_ACTS,PT,F,DLDONLD,Y15T24,ALLAREA,60.0
2021,SE_ADT_ACTS,PT,F,DLDONLD,Y15T24,ALLAREA,72.7
2023,SE_ADT_ACTS,PT,F,DLDONLD,Y15T24,ALLAREA,88.9
2017,SE_ADT_ACTS,PT,M,DLDONLD,Y15T24,ALLAREA,6.9
2019,SE_ADT_ACTS,PT,M,DLDONLD,Y15T24,ALLAREA,82.7
2020,SE_ADT_ACTS,PT,M,DLDONLD,Y15T24,ALLAREA,82.2
