Year,SERIES,UNIT_MEASURE,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,SEX,COMPOSITE_BREAKDOWN,URBANISATION,Value
2000,SE_AGP_CPRA,RO,ISCED11_2,_T,,,_T,1.00164
2006,SE_AGP_CPRA,RO,ISCED11_2,_T,,,_T,0.99919
2012,SE_AGP_CPRA,RO,ISCED11_2,_T,,,_T,1.00151
2012,SE_AGP_CPRA,RO,ISCED11_2,Q1,,,_T,0.91118
2012,SE_AGP_CPRA,RO,ISCED11_2,Q2,,,_T,1.10629
2012,SE_AGP_CPRA,RO,ISCED11_2,Q3,,,_T,1.02274
2012,SE_AGP_CPRA,RO,ISCED11_2,Q4,,,_T,0.96968
2012,SE_AGP_CPRA,RO,ISCED11_2,Q5,,,_T,1
2012,SE_AGP_CPRA,RO,ISCED11_1,Q1,,,_T,0.99409
2012,SE_AGP_CPRA,RO,ISCED11_1,Q2,,,_T,1
2012,SE_AGP_CPRA,RO,ISCED11_1,Q3,,,_T,1.01929
2012,SE_AGP_CPRA,RO,ISCED11_1,Q4,,,_T,1
2012,SE_AGP_CPRA,RO,ISCED11_1,Q5,,,_T,1
2000,SE_AGP_CPRA,RO,ISCED11_3,_T,,,_T,1.0333
2006,SE_AGP_CPRA,RO,ISCED11_3,_T,,,_T,1.12687
2012,SE_AGP_CPRA,RO,ISCED11_3,_T,,,_T,1.00844
2012,SE_AGP_CPRA,RO,ISCED11_3,Q1,,,_T,0.97794
2012,SE_AGP_CPRA,RO,ISCED11_3,Q2,,,_T,0.98184
2012,SE_AGP_CPRA,RO,ISCED11_3,Q3,,,_T,1.01683
2012,SE_AGP_CPRA,RO,ISCED11_3,Q4,,,_T,1.03215
2012,SE_AGP_CPRA,RO,ISCED11_3,Q5,,,_T,0.99224
2012,SE_AGP_CPRA,RO,ISCED11_2,_T,,,R,1.00371
2012,SE_AGP_CPRA,RO,ISCED11_2,Q1,,,R,0.96297
2012,SE_AGP_CPRA,RO,ISCED11_2,Q2,,,R,1.08995
2012,SE_AGP_CPRA,RO,ISCED11_2,Q3,,,R,1.02782
2012,SE_AGP_CPRA,RO,ISCED11_2,Q4,,,R,0.94893
2012,SE_AGP_CPRA,RO,ISCED11_2,Q5,,,R,0
2012,SE_AGP_CPRA,RO,ISCED11_1,_T,,,R,1.005
2012,SE_AGP_CPRA,RO,ISCED11_1,Q1,,,R,0.99663
2012,SE_AGP_CPRA,RO,ISCED11_1,Q2,,,R,1
2012,SE_AGP_CPRA,RO,ISCED11_1,Q3,,,R,1.02204
2012,SE_AGP_CPRA,RO,ISCED11_1,Q4,,,R,1
2012,SE_AGP_CPRA,RO,ISCED11_1,Q5,,,R,1
2012,SE_AGP_CPRA,RO,ISCED11_3,_T,,,R,1.01019
2012,SE_AGP_CPRA,RO,ISCED11_3,Q1,,,R,0.95803
2012,SE_AGP_CPRA,RO,ISCED11_3,Q2,,,R,0.95574
2012,SE_AGP_CPRA,RO,ISCED11_3,Q3,,,R,1.02983
2012,SE_AGP_CPRA,RO,ISCED11_3,Q4,,,R,1.02649
2012,SE_AGP_CPRA,RO,ISCED11_3,Q5,,,R,0
2012,SE_AGP_CPRA,RO,ISCED11_2,_T,,,U,0.99678
2012,SE_AGP_CPRA,RO,ISCED11_2,Q1,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_2,Q2,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_2,Q3,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_2,Q4,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_2,Q5,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_1,_T,,,U,0.99838
2012,SE_AGP_CPRA,RO,ISCED11_1,Q1,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q2,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q3,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q4,,,U,1
2012,SE_AGP_CPRA,RO,ISCED11_1,Q5,,,U,1
2012,SE_AGP_CPRA,RO,ISCED11_3,_T,,,U,1.00534
2012,SE_AGP_CPRA,RO,ISCED11_3,Q1,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_3,Q2,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_3,Q3,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_3,Q4,,,U,0
2012,SE_AGP_CPRA,RO,ISCED11_3,Q5,,,U,0
2000,SE_ALP_CPLR,RO,ISCED11_2,_T,_T,,,0.97704
2006,SE_ALP_CPLR,RO,ISCED11_2,_T,_T,,,0.99838
2012,SE_ALP_CPLR,RO,ISCED11_2,_T,_T,,,0.98434
2012,SE_ALP_CPLR,RO,ISCED11_2,Q1,_T,,,0.98433
2000,SE_ALP_CPLR,RO,ISCED11_1,Q2,_T,,,0.99638
2006,SE_ALP_CPLR,RO,ISCED11_1,Q2,_T,,,1.01804
2012,SE_ALP_CPLR,RO,ISCED11_1,Q2,_T,,,0.99747
2012,SE_ALP_CPLR,RO,ISCED11_1,Q3,_T,,,0.98717
2000,SE_ALP_CPLR,RO,ISCED11_3,Q4,_T,,,0.60731
2006,SE_ALP_CPLR,RO,ISCED11_3,Q4,_T,,,0.60786
2012,SE_ALP_CPLR,RO,ISCED11_3,Q4,_T,,,0.9377
2012,SE_ALP_CPLR,RO,ISCED11_3,Q5,_T,,,0.91663
2012,SE_ALP_CPLR,RO,ISCED11_2,_T,F,,,0.98805
2012,SE_ALP_CPLR,RO,ISCED11_2,Q1,F,,,0
2012,SE_ALP_CPLR,RO,ISCED11_1,Q2,F,,,1.00079
2012,SE_ALP_CPLR,RO,ISCED11_1,Q3,F,,,0
2012,SE_ALP_CPLR,RO,ISCED11_3,Q4,F,,,0.94017
2012,SE_ALP_CPLR,RO,ISCED11_3,Q5,F,,,0
2012,SE_ALP_CPLR,RO,ISCED11_2,_T,M,,,0.98121
2012,SE_ALP_CPLR,RO,ISCED11_2,Q1,M,,,0
2012,SE_ALP_CPLR,RO,ISCED11_1,Q2,M,,,0.99417
2012,SE_ALP_CPLR,RO,ISCED11_1,Q3,M,,,0
2012,SE_ALP_CPLR,RO,ISCED11_3,Q4,M,,,0.93559
2012,SE_ALP_CPLR,RO,ISCED11_3,Q5,M,,,0
2006,SE_AWP_CPRA,RO,ISCED11_2,_T,_T,,_T,0.95734
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,_T,,_T,0.90817
2006,SE_AWP_CPRA,RO,ISCED11_1,_T,_T,,_T,0.9952
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,_T,,_T,0.99667
2006,SE_AWP_CPRA,RO,ISCED11_3,_T,_T,,_T,0.40562
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,_T,,_T,0.84739
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,F,,_T,0.86993
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,F,,_T,0.99409
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,F,,_T,0.83858
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,M,,_T,0.95472
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,M,,_T,1
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,M,,_T,0.85085
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,_T,,R,0.92155
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,_T,,R,0.99812
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,_T,,R,0.81684
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,F,,R,0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,F,,R,0.99663
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,F,,R,0
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,M,,R,0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,M,,R,1
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,M,,R,0
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,_T,,U,0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,_T,,U,0
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,_T,,U,0
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,F,,U,0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,F,,U,0
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,F,,U,0
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,M,,U,0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,M,,U,0
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,M,,U,0
2018,SE_TOT_GPI,RO,ISCED11_2,,,SKILL_MATH,,1.00606
2018,SE_TOT_GPI,RO,ISCED11_2,,,SKILL_READ,,1.43035
2006,SE_GPI_PART,RO,,,,,,0.883600405130323
2007,SE_GPI_PART,RO,,,,,,0.891686129033341
2008,SE_GPI_PART,RO,,,,,,1.06196239724885
2010,SE_GPI_PART,RO,,,,,,0.910083897185205
2011,SE_GPI_PART,RO,,,,,,0.98996595671436
2012,SE_GPI_PART,RO,,,,,,1.05592578636944
2016,SE_GPI_PART,RO,,,,,,0.955056179775281
2018,SE_LGP_ACHI,RO,ISCED11_2,,,SKILL_MATH,,0.902083532281409
2018,SE_LGP_ACHI,RO,ISCED11_2,,,SKILL_READ,,0.853972251001899
2018,SE_TOT_SESPI,RO,ISCED11_2,,,SKILL_MATH,,0.452756475702723
2018,SE_TOT_SESPI,RO,ISCED11_2,,,SKILL_READ,,0.498835485525049
2018,SE_NAP_ACHI,RO,ISCED11_2,,,SKILL_MATH,,0.885883261376352
2018,SE_NAP_ACHI,RO,ISCED11_2,,,SKILL_READ,,0.792833837645942
2018,SE_TOT_RUPI,RO,ISCED11_2,,,SKILL_MATH,,0.582614943513902
2018,SE_TOT_RUPI,RO,ISCED11_2,,,SKILL_READ,,0.555354166299471
