Year,SERIES,UNIT_MEASURE,SEX,Value
2000,SG_GEN_PARLN,NUMBER,F,3
2001,SG_GEN_PARLN,NUMBER,F,3
2002,SG_GEN_PARLN,NUMBER,F,7
2003,SG_GEN_PARLN,NUMBER,F,7
2004,SG_GEN_PARLN,NUMBER,F,7
2005,SG_GEN_PARLN,NUMBER,F,7
2006,SG_GEN_PARLN,NUMBER,F,7
2007,SG_GEN_PARLN,NUMBER,F,6
2008,SG_GEN_PARLN,NUMBER,F,5
2009,SG_GEN_PARLN,NUMBER,F,5
2010,SG_GEN_PARLN,NUMBER,F,8
2011,SG_GEN_PARLN,NUMBER,F,7
2012,SG_GEN_PARLN,NUMBER,F,9
2013,SG_GEN_PARLN,NUMBER,F,9
2014,SG_GEN_PARLN,NUMBER,F,9
2015,SG_GEN_PARLN,NUMBER,F,9
2016,SG_GEN_PARLN,NUMBER,F,9
2017,SG_GEN_PARLN,NUMBER,F,9
2018,SG_GEN_PARLN,NUMBER,F,9
2019,SG_GEN_PARLN,NUMBER,F,9
2020,SG_GEN_PARLN,NUMBER,F,9
2000,SG_GEN_PARLNT,NUMBER,_T,42
2001,SG_GEN_PARLNT,NUMBER,_T,42
2002,SG_GEN_PARLNT,NUMBER,_T,42
2003,SG_GEN_PARLNT,NUMBER,_T,42
2004,SG_GEN_PARLNT,NUMBER,_T,42
2005,SG_GEN_PARLNT,NUMBER,_T,42
2006,SG_GEN_PARLNT,NUMBER,_T,42
2007,SG_GEN_PARLNT,NUMBER,_T,42
2008,SG_GEN_PARLNT,NUMBER,_T,42
2009,SG_GEN_PARLNT,NUMBER,_T,42
2010,SG_GEN_PARLNT,NUMBER,_T,42
2011,SG_GEN_PARLNT,NUMBER,_T,42
2012,SG_GEN_PARLNT,NUMBER,_T,42
2013,SG_GEN_PARLNT,NUMBER,_T,42
2014,SG_GEN_PARLNT,NUMBER,_T,42
2015,SG_GEN_PARLNT,NUMBER,_T,42
2016,SG_GEN_PARLNT,NUMBER,_T,42
2017,SG_GEN_PARLNT,NUMBER,_T,42
2018,SG_GEN_PARLNT,NUMBER,_T,42
2019,SG_GEN_PARLNT,NUMBER,_T,42
2020,SG_GEN_PARLNT,NUMBER,_T,42
2018,SG_GEN_LOCGELS,PT,F,18.59
2000,SG_GEN_PARL,PT,F,7.14
2001,SG_GEN_PARL,PT,F,7.14
2002,SG_GEN_PARL,PT,F,16.67
2003,SG_GEN_PARL,PT,F,16.67
2004,SG_GEN_PARL,PT,F,16.67
2005,SG_GEN_PARL,PT,F,16.67
2006,SG_GEN_PARL,PT,F,16.67
2007,SG_GEN_PARL,PT,F,14.29
2008,SG_GEN_PARL,PT,F,11.90
2009,SG_GEN_PARL,PT,F,11.90
2010,SG_GEN_PARL,PT,F,19.05
2011,SG_GEN_PARL,PT,F,16.67
2012,SG_GEN_PARL,PT,F,21.43
2013,SG_GEN_PARL,PT,F,21.43
2014,SG_GEN_PARL,PT,F,21.43
2015,SG_GEN_PARL,PT,F,21.43
2016,SG_GEN_PARL,PT,F,21.43
2017,SG_GEN_PARL,PT,F,21.43
2018,SG_GEN_PARL,PT,F,21.43
2019,SG_GEN_PARL,PT,F,21.43
2020,SG_GEN_PARL,PT,F,21.43
