Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2000,SH_H2O_SAFE,PT,_T,87.34998
2001,SH_H2O_SAFE,PT,_T,87.47272
2002,SH_H2O_SAFE,PT,_T,87.59462
2003,SH_H2O_SAFE,PT,_T,87.71558
2004,SH_H2O_SAFE,PT,_T,87.83569
2005,SH_H2O_SAFE,PT,_T,87.95483
2006,SH_H2O_SAFE,PT,_T,88.07303
2007,SH_H2O_SAFE,PT,_T,88.19037
2008,SH_H2O_SAFE,PT,_T,88.30676
2009,SH_H2O_SAFE,PT,_T,88.42222
2010,SH_H2O_SAFE,PT,_T,88.53673
2011,SH_H2O_SAFE,PT,_T,88.65034
2012,SH_H2O_SAFE,PT,_T,88.70229
2013,SH_H2O_SAFE,PT,_T,88.79768
2014,SH_H2O_SAFE,PT,_T,88.81719
2015,SH_H2O_SAFE,PT,_T,88.82513
2016,SH_H2O_SAFE,PT,_T,88.83336
2017,SH_H2O_SAFE,PT,_T,88.84189
