Year,SERIES,UNIT_MEASURE,ACTIVITY,URBANISATION,Value
2020,EN_WWT_WWDS,PT,,,46.7966
2022,EN_WWT_WWDS,PT,,,65.3053
2015,EN_WWT_TREATR,PT,INDUSTRIES,_T,100
2015,EN_WWT_TREATR,PT,_T,_T,54.3595
2015,EN_WWT_GEN,M_M3_PER_YR,INDUSTRIES,_T,8.6
2015,EN_WWT_GEN,M_M3_PER_YR,ISIC4_A,_T,0.5
2015,EN_WWT_GEN,M_M3_PER_YR,ISIC4_C,_T,8.6
2015,EN_WWT_GEN,M_M3_PER_YR,PRIV_HH,_T,70
2015,EN_WWT_GEN,M_M3_PER_YR,SERV_HH,_T,84
2015,EN_WWT_GEN,M_M3_PER_YR,SERVICES,_T,13.8
2015,EN_WWT_GEN,M_M3_PER_YR,_T,_T,92.9
2015,EN_WWT_TREAT,M_M3_PER_YR,INDUSTRIES,_T,45.8
2015,EN_WWT_TREAT,M_M3_PER_YR,_T,_T,50.5
