Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2000,ER_H2O_WUEYST,USD/m3,INDUSTRIES,148.84
2001,ER_H2O_WUEYST,USD/m3,INDUSTRIES,110.64
2002,ER_H2O_WUEYST,USD/m3,INDUSTRIES,89.28
2003,ER_H2O_WUEYST,USD/m3,INDUSTRIES,77.11
2004,ER_H2O_WUEYST,USD/m3,INDUSTRIES,68.84
2005,ER_H2O_WUEYST,USD/m3,INDUSTRIES,67.7
2006,ER_H2O_WUEYST,USD/m3,INDUSTRIES,63.24
2007,ER_H2O_WUEYST,USD/m3,INDUSTRIES,65.86
2008,ER_H2O_WUEYST,USD/m3,INDUSTRIES,66.22
2009,ER_H2O_WUEYST,USD/m3,INDUSTRIES,67.1
2010,ER_H2O_WUEYST,USD/m3,INDUSTRIES,59.15
2011,ER_H2O_WUEYST,USD/m3,INDUSTRIES,44.81
2012,ER_H2O_WUEYST,USD/m3,INDUSTRIES,35.35
2013,ER_H2O_WUEYST,USD/m3,INDUSTRIES,35.17
2014,ER_H2O_WUEYST,USD/m3,INDUSTRIES,44.6
2015,ER_H2O_WUEYST,USD/m3,INDUSTRIES,47.83
2016,ER_H2O_WUEYST,USD/m3,INDUSTRIES,45.72
2017,ER_H2O_WUEYST,USD/m3,INDUSTRIES,46.06
2018,ER_H2O_WUEYST,USD/m3,INDUSTRIES,43.4
2019,ER_H2O_WUEYST,USD/m3,INDUSTRIES,72.34
2020,ER_H2O_WUEYST,USD/m3,INDUSTRIES,54.04
2021,ER_H2O_WUEYST,USD/m3,INDUSTRIES,64.54
2000,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,17.52
2001,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,18.14
2002,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,19.13
2003,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,20.33
2004,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,21.02
2005,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,21.77
2006,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,21.48
2007,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,23.82
2008,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,24.99
2009,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,25.01
2010,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,25.02
2011,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,25.92
2012,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,26.05
2013,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,26.93
2014,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,28.4
2016,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,28.81
2017,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,28.94
2018,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,33.87
2019,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,35.92
2020,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,35.11
2021,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,37.86
2020,ER_H2O_WUEYST,USD/m3,ISIC4_A01_A0210_A0322,
2020,ER_H2O_WUEYST,USD/m3,_T,
