Year,SERIES,UNIT_MEASURE,DEVIATION_LEVEL,Value
2017,EN_LKW_QLTRST,PT,EXTREME,0
2018,EN_LKW_QLTRST,PT,EXTREME,0
2019,EN_LKW_QLTRST,PT,EXTREME,0.15333
2017,EN_LKW_QLTRST,PT,HIGH,0.67917
2018,EN_LKW_QLTRST,PT,HIGH,4.905
2019,EN_LKW_QLTRST,PT,HIGH,6.71
2017,EN_LKW_QLTRST,PT,LOW,85.98667
2018,EN_LKW_QLTRST,PT,LOW,87.80667
2019,EN_LKW_QLTRST,PT,LOW,83.95833
2017,EN_LKW_QLTRST,PT,MEDIUM,13.33583
2018,EN_LKW_QLTRST,PT,MEDIUM,7.29
2019,EN_LKW_QLTRST,PT,MEDIUM,9.1775
2017,EN_LKW_QLTRB,PT,EXTREME,27.795
2018,EN_LKW_QLTRB,PT,EXTREME,12.555
2019,EN_LKW_QLTRB,PT,EXTREME,19.4
2017,EN_LKW_QLTRB,PT,HIGH,21.5425
2018,EN_LKW_QLTRB,PT,HIGH,14.00083
2019,EN_LKW_QLTRB,PT,HIGH,18.70667
2017,EN_LKW_QLTRB,PT,LOW,44.11667
2018,EN_LKW_QLTRB,PT,LOW,60.21333
2019,EN_LKW_QLTRB,PT,LOW,42.66917
2017,EN_LKW_QLTRB,PT,MEDIUM,6.54667
2018,EN_LKW_QLTRB,PT,MEDIUM,13.235
2019,EN_LKW_QLTRB,PT,MEDIUM,19.22083
2000,EN_LKRV_PWAP,PT,,0.00037
2001,EN_LKRV_PWAP,PT,,0.00072
2002,EN_LKRV_PWAP,PT,,0.00112
2003,EN_LKRV_PWAP,PT,,0.00151
2004,EN_LKRV_PWAP,PT,,0.00184
2005,EN_LKRV_PWAP,PT,,0.00184
2006,EN_LKRV_PWAP,PT,,0.00188
2007,EN_LKRV_PWAP,PT,,0.00187
2008,EN_LKRV_PWAP,PT,,0.00183
2009,EN_LKRV_PWAP,PT,,0.00184
2010,EN_LKRV_PWAP,PT,,0.00183
2011,EN_LKRV_PWAP,PT,,0.0018
2012,EN_LKRV_PWAP,PT,,0.00177
2013,EN_LKRV_PWAP,PT,,0.00176
2014,EN_LKRV_PWAP,PT,,0.0018
2015,EN_LKRV_PWAP,PT,,0.00185
2016,EN_LKRV_PWAP,PT,,0.00188
2017,EN_LKRV_PWAP,PT,,0.00192
2018,EN_LKRV_PWAP,PT,,0.00195
2019,EN_LKRV_PWAP,PT,,0.00197
2020,EN_LKRV_PWAP,PT,,0.00194
2000,EN_LKRV_PWAN,KM2,,18.934
2001,EN_LKRV_PWAN,KM2,,37.102
2002,EN_LKRV_PWAN,KM2,,57.12
2003,EN_LKRV_PWAN,KM2,,77.174
2004,EN_LKRV_PWAN,KM2,,94.06
2005,EN_LKRV_PWAN,KM2,,93.986
2006,EN_LKRV_PWAN,KM2,,96.046
2007,EN_LKRV_PWAN,KM2,,95.884 
2008,EN_LKRV_PWAN,KM2,,93.71
2009,EN_LKRV_PWAN,KM2,,94.102
2010,EN_LKRV_PWAN,KM2,,93.636
2011,EN_LKRV_PWAN,KM2,,92.258
