Year,SERIES,UNIT_MEASURE,AGE,Value
2006,FB_ATM_TOTL,NUMBER,Y_GE15,15.7603554664889
2007,FB_ATM_TOTL,NUMBER,Y_GE15,20.8961213927472
2008,FB_ATM_TOTL,NUMBER,Y_GE15,28.7130590242978
2009,FB_ATM_TOTL,NUMBER,Y_GE15,43.2367234540877
2010,FB_ATM_TOTL,NUMBER,Y_GE15,35.1659332423759
2011,FB_ATM_TOTL,NUMBER,Y_GE15,38.9598561143151
2012,FB_ATM_TOTL,NUMBER,Y_GE15,42.1918744495998
2013,FB_ATM_TOTL,NUMBER,Y_GE15,45.6265850902459
2014,FB_ATM_TOTL,NUMBER,Y_GE15,48.3100788850061
2015,FB_ATM_TOTL,NUMBER,Y_GE15,51.9150244970796
2016,FB_ATM_TOTL,NUMBER,Y_GE15,52.4818500268657
2017,FB_ATM_TOTL,NUMBER,Y_GE15,53.8932535381674
2018,FB_ATM_TOTL,NUMBER,Y_GE15,55.8396955995355
2019,FB_ATM_TOTL,NUMBER,Y_GE15,58.2394843106736

2005,FB_CBK_BRCH,NUMBER,Y_GE15,27.4945406233451
2006,FB_CBK_BRCH,NUMBER,Y_GE15,28.2853534083531
2007,FB_CBK_BRCH,NUMBER,Y_GE15,31.8067679825481
2008,FB_CBK_BRCH,NUMBER,Y_GE15,33.9075414005026
2009,FB_CBK_BRCH,NUMBER,Y_GE15,32.2919292513186
2010,FB_CBK_BRCH,NUMBER,Y_GE15,31.514825419397
2011,FB_CBK_BRCH,NUMBER,Y_GE15,32.4449384113389
2012,FB_CBK_BRCH,NUMBER,Y_GE15,32.2353807126615
2013,FB_CBK_BRCH,NUMBER,Y_GE15,33.1860030444406
2014,FB_CBK_BRCH,NUMBER,Y_GE15,34.3523281833073
2015,FB_CBK_BRCH,NUMBER,Y_GE15,31.6513071817848
2016,FB_CBK_BRCH,NUMBER,Y_GE15,30.302020551226
2017,FB_CBK_BRCH,NUMBER,Y_GE15,30.4659717857087
2018,FB_CBK_BRCH,NUMBER,Y_GE15,30.5318183903908
2019,FB_CBK_BRCH,NUMBER,Y_GE15,30.0075391722678
