Year,SERIES,UNIT_MEASURE,SEX,AGE,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,URBANISATION,Value
2011,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,_T,ALLAREA,56.21
2014,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,_T,ALLAREA,52.69
2017,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,_T,ALLAREA,58.84
2021,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,_T,ALLAREA,79.34
2024,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,_T,ALLAREA,77.46
2011,FB_BNK_ACCSS,PT,F,Y_GE15,_T,_T,ALLAREA,47.72
2014,FB_BNK_ACCSS,PT,F,Y_GE15,_T,_T,ALLAREA,47.06
2017,FB_BNK_ACCSS,PT,F,Y_GE15,_T,_T,ALLAREA,54.74
2021,FB_BNK_ACCSS,PT,F,Y_GE15,_T,_T,ALLAREA,70.37
2024,FB_BNK_ACCSS,PT,F,Y_GE15,_T,_T,ALLAREA,75.75
2011,FB_BNK_ACCSS,PT,M,Y_GE15,_T,_T,ALLAREA,67.23
2014,FB_BNK_ACCSS,PT,M,Y_GE15,_T,_T,ALLAREA,58.82
2017,FB_BNK_ACCSS,PT,M,Y_GE15,_T,_T,ALLAREA,63.18
2021,FB_BNK_ACCSS,PT,M,Y_GE15,_T,_T,ALLAREA,88.71
2024,FB_BNK_ACCSS,PT,M,Y_GE15,_T,_T,ALLAREA,79.26
2011,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,B40,ALLAREA,42.76
2014,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,B40,ALLAREA,40.77
2017,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,B40,ALLAREA,47.50
2021,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,B40,ALLAREA,72.29
2024,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,B40,ALLAREA,70.38
2011,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,R60,ALLAREA,65.17
2014,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,R60,ALLAREA,60.61
2017,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,R60,ALLAREA,66.39
2021,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,R60,ALLAREA,84.01
2024,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,R60,ALLAREA,82.15
2024,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,_T,R,76.32
2024,FB_BNK_ACCSS,PT,_T,Y_GE15,_T,_T,U,82.71
2011,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_0_1,_T,ALLAREA,34.15
2014,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_0_1,_T,ALLAREA,38.18
2017,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_0_1,_T,ALLAREA,39.42
2021,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_0_1,_T,ALLAREA,57.58
2024,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_0_1,_T,ALLAREA,53.80
2011,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_GE2,_T,ALLAREA,67.85
2014,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_GE2,_T,ALLAREA,63.14
2017,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_GE2,_T,ALLAREA,69.26
2021,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_GE2,_T,ALLAREA,90.08
2024,FB_BNK_ACCSS,PT,_T,Y_GE15,AGG_GE2,_T,ALLAREA,90.29
2011,FB_BNK_ACCSS,PT,_T,Y15T24,_T,_T,ALLAREA,46.40
2014,FB_BNK_ACCSS,PT,_T,Y15T24,_T,_T,ALLAREA,34.38
2017,FB_BNK_ACCSS,PT,_T,Y15T24,_T,_T,ALLAREA,37.58
2021,FB_BNK_ACCSS,PT,_T,Y15T24,_T,_T,ALLAREA,61.03
2024,FB_BNK_ACCSS,PT,_T,Y15T24,_T,_T,ALLAREA,58.40
2011,FB_BNK_ACCSS,PT,_T,Y_GE25,_T,_T,ALLAREA,58.08
2014,FB_BNK_ACCSS,PT,_T,Y_GE25,_T,_T,ALLAREA,56.13
2017,FB_BNK_ACCSS,PT,_T,Y_GE25,_T,_T,ALLAREA,62.80
2021,FB_BNK_ACCSS,PT,_T,Y_GE25,_T,_T,ALLAREA,82.98
2024,FB_BNK_ACCSS,PT,_T,Y_GE25,_T,_T,ALLAREA,81.04
2011,FB_BNK_ACCSS_ILF,PT,_T,Y_GE15,_T,_T,ALLAREA,76.62
2014,FB_BNK_ACCSS_ILF,PT,_T,Y_GE15,_T,_T,ALLAREA,69.08
2017,FB_BNK_ACCSS_ILF,PT,_T,Y_GE15,_T,_T,ALLAREA,77.60
2021,FB_BNK_ACCSS_ILF,PT,_T,Y_GE15,_T,_T,ALLAREA,91.01
2024,FB_BNK_ACCSS_ILF,PT,_T,Y_GE15,_T,_T,ALLAREA,91.34
2011,FB_BNK_ACCSS_OLF,PT,_T,Y_GE15,_T,_T,ALLAREA,41.61
2014,FB_BNK_ACCSS_OLF,PT,_T,Y_GE15,_T,_T,ALLAREA,40.43
2017,FB_BNK_ACCSS_OLF,PT,_T,Y_GE15,_T,_T,ALLAREA,42.98
2021,FB_BNK_ACCSS_OLF,PT,_T,Y_GE15,_T,_T,ALLAREA,62.40
2024,FB_BNK_ACCSS_OLF,PT,_T,Y_GE15,_T,_T,ALLAREA,61.57
