Year,SERIES,UNIT_MEASURE,ACTIVITY,SEX,AGE,Value
2006,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,89.55
2007,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,90.87
2008,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,91.24
2009,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,91.19
2010,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,90.4
2011,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,90.56
2012,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,90.81
2013,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,90.94
2014,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,89.75
2015,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,90.0
2016,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,89.89
2017,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,76.01
2018,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,72.74
2019,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,79.37
2020,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,64.52
2021,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,78.44
2022,SL_ISV_IFEM,PT,ISIC4_A,BOTHSEX,15+,81.19
2006,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,24.64
2007,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,23.76
2008,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,21.15
2009,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,18.33
2010,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,18.12
2011,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,16.33
2012,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,18.9
2013,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,17.7
2014,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,16.8
2015,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,17.1
2016,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,17.5
2017,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,12.9
2018,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,12.7
2019,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,10.8
2020,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,7.5
2021,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,8.4
2022,SL_ISV_IFEM,PT,NONAGR,BOTHSEX,15+,7.45
2006,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,38.0
2007,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,37.1
2008,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,35.6
2009,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,33.8
2010,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,32.4
2011,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,30.9
2012,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,33.7
2013,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,31.5
2014,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,29.3
2015,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,30.1
2016,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,30.5
2017,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,24.8
2018,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,22.1
2019,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,23.1
2020,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,14.3
2021,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,20.68
2022,SL_ISV_IFEM,PT,_T,BOTHSEX,15+,19.89
2006,SL_ISV_IFEM,PT,ISIC4_A,F,15+,95.6
2007,SL_ISV_IFEM,PT,ISIC4_A,F,15+,97.3
2008,SL_ISV_IFEM,PT,ISIC4_A,F,15+,96.1
2009,SL_ISV_IFEM,PT,ISIC4_A,F,15+,96.3
2010,SL_ISV_IFEM,PT,ISIC4_A,F,15+,95.9
2011,SL_ISV_IFEM,PT,ISIC4_A,F,15+,96.6
2012,SL_ISV_IFEM,PT,ISIC4_A,F,15+,96.1
2013,SL_ISV_IFEM,PT,ISIC4_A,F,15+,96.0
2014,SL_ISV_IFEM,PT,ISIC4_A,F,15+,94.0
2015,SL_ISV_IFEM,PT,ISIC4_A,F,15+,95.0
2016,SL_ISV_IFEM,PT,ISIC4_A,F,15+,96.7
2017,SL_ISV_IFEM,PT,ISIC4_A,F,15+,88.9
2018,SL_ISV_IFEM,PT,ISIC4_A,F,84.2
2019,SL_ISV_IFEM,PT,ISIC4_A,F,15+,88.4
2020,SL_ISV_IFEM,PT,ISIC4_A,F,15+,79.4
2021,SL_ISV_IFEM,PT,ISIC4_A,F,15+,89.98
2022,SL_ISV_IFEM,PT,ISIC4_A,F,15+,92.59
2006,SL_ISV_IFEM,PT,NONAGR,F,15+,18.9
2007,SL_ISV_IFEM,PT,NONAGR,F,15+,16.9
2008,SL_ISV_IFEM,PT,NONAGR,F,15+,15.7
2009,SL_ISV_IFEM,PT,NONAGR,F,15+,12.8
2010,SL_ISV_IFEM,PT,NONAGR,F,15+,14.3
2011,SL_ISV_IFEM,PT,NONAGR,F,15+,12.0
2012,SL_ISV_IFEM,PT,NONAGR,F,15+,13.2
2013,SL_ISV_IFEM,PT,NONAGR,F,15+,12.8
2014,SL_ISV_IFEM,PT,NONAGR,F,15+,12.5
2015,SL_ISV_IFEM,PT,NONAGR,F,15+,13.8
2016,SL_ISV_IFEM,PT,NONAGR,F,15+,12.7
2017,SL_ISV_IFEM,PT,NONAGR,F,15+,10.6
2018,SL_ISV_IFEM,PT,NONAGR,F,15+,10.5
2019,SL_ISV_IFEM,PT,NONAGR,F,15+,7.8
2020,SL_ISV_IFEM,PT,NONAGR,F,15+,6.64
2021,SL_ISV_IFEM,PT,NONAGR,F,15+,6.94
2022,SL_ISV_IFEM,PT,NONAGR,F,15+,5.55
2006,SL_ISV_IFEM,PT,_T,F,15+,35.8
2007,SL_ISV_IFEM,PT,_T,F,15+,34.0
2008,SL_ISV_IFEM,PT,_T,F,15+,33.6
2009,SL_ISV_IFEM,PT,_T,F,15+,34.3
2010,SL_ISV_IFEM,PT,_T,F,15+,32.9
2011,SL_ISV_IFEM,PT,_T,F,15+,29.7
2012,SL_ISV_IFEM,PT,_T,F,15+,32.0
2013,SL_ISV_IFEM,PT,_T,F,15+,28.7
2014,SL_ISV_IFEM,PT,_T,F,15+,26.8
2015,SL_ISV_IFEM,PT,_T,F,15+,27.5
2016,SL_ISV_IFEM,PT,_T,F,15+,27.6
2017,SL_ISV_IFEM,PT,_T,F,15+,26.3
2018,SL_ISV_IFEM,PT,_T,F,15+,22.3
2019,SL_ISV_IFEM,PT,_T,F,15+,24.3
2020,SL_ISV_IFEM,PT,_T,F,15+,16.79
2021,SL_ISV_IFEM,PT,_T,F,15+,25.72
2022,SL_ISV_IFEM,PT,_T,F,15+,24.79
2006,SL_ISV_IFEM,PT,ISIC4_A,M,15+,85.9
2007,SL_ISV_IFEM,PT,ISIC4_A,M,15+,87.1
2008,SL_ISV_IFEM,PT,ISIC4_A,M,15+,88.2
2009,SL_ISV_IFEM,PT,ISIC4_A,M,15+,87.0
2010,SL_ISV_IFEM,PT,ISIC4_A,M,15+,86.3
2011,SL_ISV_IFEM,PT,ISIC4_A,M,15+,86.6
2012,SL_ISV_IFEM,PT,ISIC4_A,M,15+,87.2
2013,SL_ISV_IFEM,PT,ISIC4_A,M,15+,87.9
2014,SL_ISV_IFEM,PT,ISIC4_A,M,15+,87.2
2015,SL_ISV_IFEM,PT,ISIC4_A,M,15+,87.3
2016,SL_ISV_IFEM,PT,ISIC4_A,M,15+,86.2
2017,SL_ISV_IFEM,PT,ISIC4_A,M,15+,65.5
2018,SL_ISV_IFEM,PT,ISIC4_A,M,15+,65.7
2019,SL_ISV_IFEM,PT,ISIC4_A,M,15+,72.4
2020,SL_ISV_IFEM,PT,ISIC4_A,M,15+,52.51
2021,SL_ISV_IFEM,PT,ISIC4_A,M,15+,66.44
2022,SL_ISV_IFEM,PT,ISIC4_A,M,15+,68.73
2006,SL_ISV_IFEM,PT,NONAGR,M,15+,27.6
2007,SL_ISV_IFEM,PT,NONAGR,M,15+,27.3
2008,SL_ISV_IFEM,PT,NONAGR,M,15+,24.1
2009,SL_ISV_IFEM,PT,NONAGR,M,15+,21.3
2010,SL_ISV_IFEM,PT,NONAGR,M,15+,20.2
2011,SL_ISV_IFEM,PT,NONAGR,M,15+,18.8
2012,SL_ISV_IFEM,PT,NONAGR,M,15+,22.1
2013,SL_ISV_IFEM,PT,NONAGR,M,15+,20.6
2014,SL_ISV_IFEM,PT,NONAGR,M,15+,19.4
2015,SL_ISV_IFEM,PT,NONAGR,M,15+,19.1
2016,SL_ISV_IFEM,PT,NONAGR,M,15+,20.2
2017,SL_ISV_IFEM,PT,NONAGR,M,15+,14.3
2018,SL_ISV_IFEM,PT,NONAGR,M,15+,14.0
2019,SL_ISV_IFEM,PT,NONAGR,M,15+,12.6
2020,SL_ISV_IFEM,PT,NONAGR,M,15+,7.95
2021,SL_ISV_IFEM,PT,NONAGR,M,15+,9.32
2022,SL_ISV_IFEM,PT,NONAGR,M,15+,8.58
2006,SL_ISV_IFEM,PT,_T,M,15+,39.2
2007,SL_ISV_IFEM,PT,_T,M,15+,38.6
2008,SL_ISV_IFEM,PT,_T,M,15+,36.7
2009,SL_ISV_IFEM,PT,_T,M,15+,33.5
2010,SL_ISV_IFEM,PT,_T,M,15+,32.1
2011,SL_ISV_IFEM,PT,_T,M,15+,31.6
2012,SL_ISV_IFEM,PT,_T,M,15+,34.7
2013,SL_ISV_IFEM,PT,_T,M,15+,33.2
2014,SL_ISV_IFEM,PT,_T,M,15+,30.8
2015,SL_ISV_IFEM,PT,_T,M,15+,31.7
2016,SL_ISV_IFEM,PT,_T,M,15+,32.1
2017,SL_ISV_IFEM,PT,_T,M,15+,24.0
2018,SL_ISV_IFEM,PT,_T,M,15+,22.0
2019,SL_ISV_IFEM,PT,_T,M,15+,22.4
2020,SL_ISV_IFEM,PT,_T,M,15+,12.74
2021,SL_ISV_IFEM,PT,_T,M,15+,17.4
2022,SL_ISV_IFEM,PT,_T,M,15+,16.64
