Year,SERIES,UNIT_MEASURE,SEX,OCCUPATION,Value
2000,SL_EMP_EARN,CUR_LCU,_T,isco08,2.72
2006,SL_EMP_EARN,CUR_LCU,_T,isco08,2.9
2007,SL_EMP_EARN,CUR_LCU,_T,isco08,3.07
2008,SL_EMP_EARN,CUR_LCU,_T,isco08,3.06
2009,SL_EMP_EARN,CUR_LCU,_T,isco08,3.93
2010,SL_EMP_EARN,CUR_LCU,_T,isco08,4.02
2011,SL_EMP_EARN,CUR_LCU,_T,isco08,4.79
2012,SL_EMP_EARN,CUR_LCU,_T,isco08,4.23
2013,SL_EMP_EARN,CUR_LCU,_T,isco08,4.33
2014,SL_EMP_EARN,CUR_LCU,_T,isco08,4.27
2015,SL_EMP_EARN,CUR_LCU,_T,isco08,4.44
2016,SL_EMP_EARN,CUR_LCU,_T,isco08,4.24
2020,SL_EMP_EARN,CUR_LCU,_T,isco08,8.44
2021,SL_EMP_EARN,CUR_LCU,_T,isco08,7.39
2022,SL_EMP_EARN,CUR_LCU,_T,isco08,7.78
2011,SL_EMP_EARN,CUR_LCU,_T,isco08-0,5.03
2012,SL_EMP_EARN,CUR_LCU,_T,isco08-0,4.71
2013,SL_EMP_EARN,CUR_LCU,_T,isco08-0,4.63
2014,SL_EMP_EARN,CUR_LCU,_T,isco08-0,5.47
2015,SL_EMP_EARN,CUR_LCU,_T,isco08-0,4.7
2016,SL_EMP_EARN,CUR_LCU,_T,isco08-0,5.28
2020,SL_EMP_EARN,CUR_LCU,_T,isco08-0,8.27
2021,SL_EMP_EARN,CUR_LCU,_T,isco08-0,9.02
2022,SL_EMP_EARN,CUR_LCU,_T,isco08-0,9.65
2010,SL_EMP_EARN,CUR_LCU,_T,isco08-1,6.2
2011,SL_EMP_EARN,CUR_LCU,_T,isco08-1,6.85
2012,SL_EMP_EARN,CUR_LCU,_T,isco08-1,6.84
2013,SL_EMP_EARN,CUR_LCU,_T,isco08-1,7.5
2014,SL_EMP_EARN,CUR_LCU,_T,isco08-1,7.32
2015,SL_EMP_EARN,CUR_LCU,_T,isco08-1,8.41
2016,SL_EMP_EARN,CUR_LCU,_T,isco08-1,7.51
2020,SL_EMP_EARN,CUR_LCU,_T,isco08-1,10.89
2021,SL_EMP_EARN,CUR_LCU,_T,isco08-1,10.11
2022,SL_EMP_EARN,CUR_LCU,_T,isco08-1,10.63
2010,SL_EMP_EARN,CUR_LCU,_T,isco08-2,6.52
2011,SL_EMP_EARN,CUR_LCU,_T,isco08-2,7.26
2012,SL_EMP_EARN,CUR_LCU,_T,isco08-2,7.04
2013,SL_EMP_EARN,CUR_LCU,_T,isco08-2,6.51
2014,SL_EMP_EARN,CUR_LCU,_T,isco08-2,6.22
2015,SL_EMP_EARN,CUR_LCU,_T,isco08-2,7.05
2016,SL_EMP_EARN,CUR_LCU,_T,isco08-2,5.89
2020,SL_EMP_EARN,CUR_LCU,_T,isco08-2,10.22
2021,SL_EMP_EARN,CUR_LCU,_T,isco08-2,10.12
2022,SL_EMP_EARN,CUR_LCU,_T,isco08-2,10.52
2010,SL_EMP_EARN,CUR_LCU,_T,isco08-3,4.57
2011,SL_EMP_EARN,CUR_LCU,_T,isco08-3,4.84
2012,SL_EMP_EARN,CUR_LCU,_T,isco08-3,4.44
