Year,SERIES,UNIT_MEASURE,Value
2000,DC_TOF_INFRAL,CON_USD,133.7724 
2001,DC_TOF_INFRAL,CON_USD,147.8452
2002,DC_TOF_INFRAL,CON_USD,72.7173
2003,DC_TOF_INFRAL,CON_USD,64.6831
2004,DC_TOF_INFRAL,CON_USD,170.4325
2005,DC_TOF_INFRAL,CON_USD,112.7301
2006,DC_TOF_INFRAL,CON_USD,59.2272
2007,DC_TOF_INFRAL,CON_USD,47.2187
2008,DC_TOF_INFRAL,CON_USD,118.6058
2009,DC_TOF_INFRAL,CON_USD,308.0722
2010,DC_TOF_INFRAL,CON_USD,392.6440
2011,DC_TOF_INFRAL,CON_USD,394.1465
2012,DC_TOF_INFRAL,CON_USD,493.5463
2013,DC_TOF_INFRAL,CON_USD,494.1474
2014,DC_TOF_INFRAL,CON_USD,439.3786
2015,DC_TOF_INFRAL,CON_USD,323.4550
2016,DC_TOF_INFRAL,CON_USD,350.0751
2017,DC_TOF_INFRAL,CON_USD,284.5322
2018,DC_TOF_INFRAL,CON_USD,283.2673
2019,DC_TOF_INFRAL,CON_USD,393.4609
2020,DC_TOF_INFRAL,CON_USD,546.5588
2021,DC_TOF_INFRAL,CON_USD,494.2503
