Year,UNIT_MEASURE,Type,Value
January,NUMBER,employed 2019,823455
February,NUMBER,employed 2019,819410
March,NUMBER,employed 2019,822275
April,NUMBER,employed 2019,827121
May,NUMBER,employed 2019,829477
June,NUMBER,employed 2019,821124
July,NUMBER,employed 2019,821791
August,NUMBER,employed 2019,816926
September,NUMBER,employed 2019,822259
October,NUMBER,employed 2019,825466
November,NUMBER,employed 2019,831126
December,NUMBER,employed 2019,830383
January,NUMBER,employed 2020,833909
February,NUMBER,employed 2020,832200
March,NUMBER,employed 2020,830421
April,NUMBER,employed 2020,808894
May,NUMBER,employed 2020,808868
June,NUMBER,employed 2020,804028
July,NUMBER,employed 2020,803326
August,NUMBER,employed 2020,799207
September,NUMBER,employed 2020,806350
October,NUMBER,employed 2020,807985
November,NUMBER,employed 2020,814715
December,NUMBER,employed 2020,813942
January,NUMBER,employed 2021,809667
February,NUMBER,employed 2021,808884
