Year,UNIT_MEASURE,Type,Value
January,NUMBER,domestic tourist_2019,56765
February,NUMBER,domestic tourist_2019,55730
March,NUMBER,domestic tourist_2019,66202
April,NUMBER,domestic tourist_2019,80856
May,NUMBER,domestic tourist_2019,79316
June,NUMBER,domestic tourist_2019,104676
July,NUMBER,domestic tourist_2019,94123
August,NUMBER,domestic tourist_2019,97360
September,NUMBER,domestic tourist_2019,87541
October,NUMBER,domestic tourist_2019,86414
November,NUMBER,domestic tourist_2019,71485
December,NUMBER,domestic tourist_2019,73433
January,NUMBER,domestic tourist_2020,59641
February,NUMBER,domestic tourist_2020,58175
March,NUMBER,domestic tourist_2020,33554
April,NUMBER,domestic tourist_2020,5541
May,NUMBER,domestic tourist_2020,12043
June,NUMBER,domestic tourist_2020,41580
July,NUMBER,domestic tourist_2020,111824
August,NUMBER,domestic tourist_2020,156165
September,NUMBER,domestic tourist_2020,106510
October,NUMBER,domestic tourist_2020,71043
November,NUMBER,domestic tourist_2020,42256
December,NUMBER,domestic tourist_2020,50737
January,NUMBER,domestic tourist_2021,76322
February,NUMBER,domestic tourist_2021,67623
March,NUMBER,domestic tourist_2021,58299
January,NUMBER,foreign tourist_2019,101438
February,NUMBER,foreign tourist_2019,119941
March,NUMBER,foreign tourist_2019,131648
April,NUMBER,foreign tourist_2019,206455
May,NUMBER,foreign tourist_2019,207250
June,NUMBER,foreign tourist_2019,245762
July,NUMBER,foreign tourist_2019,330273
August,NUMBER,foreign tourist_2019,357593
September,NUMBER,foreign tourist_2019,240968
October,NUMBER,foreign tourist_2019,240286
November,NUMBER,foreign tourist_2019,119201
December,NUMBER,foreign tourist_2019,119535
January,NUMBER,foreign tourist_2020,126406
February,NUMBER,foreign tourist_2020,112174
March,NUMBER,foreign tourist_2020,38437
April,NUMBER,foreign tourist_2020,2310
May,NUMBER,foreign tourist_2020,1670
June,NUMBER,foreign tourist_2020,13471
July,NUMBER,foreign tourist_2020,22763
August,NUMBER,foreign tourist_2020,51555
September,NUMBER,foreign tourist_2020,34695
October,NUMBER,foreign tourist_2020,32422
November,NUMBER,foreign tourist_2020,21795
December,NUMBER,foreign tourist_2020,30201
January,NUMBER,foreign tourist_2021,45509
February,NUMBER,foreign tourist_2021,53100
March,NUMBER,foreign tourist_2021,40902
