Year,SERIES,UNIT_MEASURE,Type of product,Value
2005,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,78.11705
2010,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,86.55545
2015,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,77.26098
2016,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,72.09544
2017,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,80.38654
2018,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,80.10167
2019,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,78.26421
2020,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,78.38638
2021,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,77.4627
2022,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,77.34604
2023,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,76.95282
2024,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Agricultural products,76.92308
2005,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,80.36611
2010,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,77.00822
2015,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,72.14442
2016,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,62.6327
2017,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,71.74151
2018,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,71.94006
2019,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,68.96074
2020,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,69.52374
2021,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,68.9646
2022,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,67.84578
2023,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,67.34357
2024,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,No breakdown,66.45491
2005,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,84.375
2010,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,100.0
2015,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,66.66667
2016,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,68.42105
2017,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,72.22222
2018,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,72.22222
2019,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,81.48148
2020,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,82.22222
2021,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,75.5556
2022,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,75.4386
2023,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,60.34483
2024,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Arms,60.34483
2005,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,49.75369
2010,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,39.92188
2015,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,42.10526
2016,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,33.31467
2017,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,44.23565
2018,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,45.09502
2019,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,41.31455
2020,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,43.83627
2021,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,41.5315
2022,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,40.76408
2023,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,40.48964
2024,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Clothing,38.5214
2005,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,85.44423
2010,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,82.15344
2015,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,78.20907
2016,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,69.63315
2017,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,ND,75.68703
2018,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,75.75446
2019,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,73.20584
2020,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,73.47208
2021,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,73.20379
2022,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,72.19321
2023,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,71.94147
2024,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Industrial products,71.21809
2005,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,AGG_OIL,0.0
2015,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,AGG_OIL,100.0
2005,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,86.64921
2010,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,83.00971
2015,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,81.26195
2016,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,69.17808
2017,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,84.49477
2018,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,85.31469
2019,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,77.11016
2020,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,78.37838
2021,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,79.03469
2022,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,79.94467
2023,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,78.93333
2024,Proportion of tariff lines applied to imports with zero-tariff (%),Percent,Textiles,77.77778
