Year,SERIES,AGE,COMPOSITE_BREAKDOWN,Sex,Occupation,UNIT_MEASURE,Value
2020,Proportions of positions in the public service compared to national distributions (ratio),_T,,Female,Administration Professionals,Ratio,0.99
2020,Proportions of positions in the public service compared to national distributions (ratio),_T,,Female,Business and Administration Associate Professionals,Ratio,0.91
2020,Proportions of positions in the public service compared to national distributions (ratio),_T,,Female,General and Keyboard Clerks,Ratio,1.19
2020,Proportions of positions in the public service compared to national distributions (ratio),_T,,Female,Other Managers: Managing Directors and Chief Executives and Business Services and Administration Managers,Ratio,0.8
2020,Proportions of positions in the public service compared to national distributions (ratio),_T,,Female,Senior Managers: Senior Government Officials,Ratio,0.29
2020,Proportions of positions in the public service compared to national distributions (ratio),<35Y,,Both sexes or no breakdown by sex,"Total national-level public service personnel (including police, education, health, front-desk administrative and all other public service personnel)",Ratio,0.44
2020,Proportions of positions in the public service compared to national distributions (ratio),_T,,Female,"Total national-level public service personnel (including police, education, health, front-desk administrative and all other public service personnel)",Ratio,1.11
2021,Proportions of positions in the judiciary compared to national distributions (ratio),<=45Y,,Both sexes or no breakdown by sex,Judges,Ratio,0.49
2021,Proportions of positions in the judiciary compared to national distributions (ratio),_T,,Female,Judges,Ratio,1.27
2021,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court (ratio)",_T,,Female,Judges,Ratio,1.17
2021,"Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)",_T,,Female,Judges,Ratio,1.38
2021,"Proportions of positions in the judiciary compared to national distributions, Lower Courts (ratio)",_T,,Female,Judges,Ratio,1.26
2021,"Number of chairs of permanent committees, by age sex and focus of the committee, Joint Committees",_U,Human Rights,Male,,Number,1.0
2022,"Number of chairs of permanent committees, by age sex and focus of the committee, Joint Committees",_U,Human Rights,Male,,Number,1.0
2023,"Number of chairs of permanent committees, by age sex and focus of the committee, Joint Committees",_U,Human Rights,Male,,Number,1.0
2023,"Number of chairs of permanent committees, by age sex and focus of the committee, Joint Committees",_U,DEFENCE,Male,,Number,1.0
2023,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",<=45Y,Foreign Affairs,Female,,Number,1.0
2023,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",<=45Y,Gender Equality,Male,,Number,1.0
2021,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",Y_GE46,Finance,Male,,Number,1.0
2022,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",Y_GE46,Finance,Male,,Number,1.0
2023,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",Y_GE46,Finance,Male,,Number,1.0
2021,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",Y_GE46,Foreign Affairs,Male,,Number,1.0
