Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2017,"Proportion of members of developing countries in international organizations, by organization",Percent,UN Economic and Social Council,1.85185
2000,"Proportion of members of developing countries in international organizations, by organization",Percent,International Bank for Reconstruction and Development,0.54945
2005,"Proportion of members of developing countries in international organizations, by organization",Percent,International Bank for Reconstruction and Development,0.54348
2010,"Proportion of members of developing countries in international organizations, by organization",Percent,International Bank for Reconstruction and Development,0.53476
2015,"Proportion of members of developing countries in international organizations, by organization",Percent,International Bank for Reconstruction and Development,0.53191
2016,"Proportion of members of developing countries in international organizations, by organization",Percent,International Bank for Reconstruction and Development,0.53191
2017,"Proportion of members of developing countries in international organizations, by organization",Percent,International Bank for Reconstruction and Development,0.5291
2018,"Proportion of members of developing countries in international organizations, by organization",Percent,International Bank for Reconstruction and Development,0.5291
2019,"Proportion of members of developing countries in international organizations, by organization",Percent,International Bank for Reconstruction and Development,0.5291
2020,"Proportion of members of developing countries in international organizations, by organization",Percent,International Bank for Reconstruction and Development,0.5291
2000,"Proportion of members of developing countries in international organizations, by organization",Percent,International Finance Corporation,0.57471
2005,"Proportion of members of developing countries in international organizations, by organization",Percent,International Finance Corporation,0.5618
2010,"Proportion of members of developing countries in international organizations, by organization",Percent,International Finance Corporation,0.54945
2015,"Proportion of members of developing countries in international organizations, by organization",Percent,International Finance Corporation,0.54348
2016,"Proportion of members of developing countries in international organizations, by organization",Percent,International Finance Corporation,0.54348
2017,"Proportion of members of developing countries in international organizations, by organization",Percent,International Finance Corporation,0.54348
2018,"Proportion of members of developing countries in international organizations, by organization",Percent,International Finance Corporation,0.54348
2019,"Proportion of members of developing countries in international organizations, by organization",Percent,International Finance Corporation,0.5435
2020,"Proportion of members of developing countries in international organizations, by organization",Percent,International Finance Corporation,0.54348
2000,"Proportion of members of developing countries in international organizations, by organization",Percent,International Monetary Fund,0.5618
2005,"Proportion of members of developing countries in international organizations, by organization",Percent,International Monetary Fund,0.55249
2010,"Proportion of members of developing countries in international organizations, by organization",Percent,International Monetary Fund,0.54945
2015,"Proportion of members of developing countries in international organizations, by organization",Percent,International Monetary Fund,0.53191
2016,"Proportion of members of developing countries in international organizations, by organization",Percent,International Monetary Fund,0.53191
2017,"Proportion of members of developing countries in international organizations, by organization",Percent,International Monetary Fund,0.5291
2018,"Proportion of members of developing countries in international organizations, by organization",Percent,International Monetary Fund,0.5291
2019,"Proportion of members of developing countries in international organizations, by organization",Percent,International Monetary Fund,0.5291
2020,"Proportion of members of developing countries in international organizations, by organization",Percent,International Monetary Fund,0.5291
2000,"Proportion of members of developing countries in international organizations, by organization",Percent,UN General Assembly,0.5291
2005,"Proportion of members of developing countries in international organizations, by organization",Percent,UN General Assembly,0.52356
2010,"Proportion of members of developing countries in international organizations, by organization",Percent,UN General Assembly,0.52083
2015,"Proportion of members of developing countries in international organizations, by organization",Percent,UN General Assembly,0.51813
2016,"Proportion of members of developing countries in international organizations, by organization",Percent,UN General Assembly,0.51813
2017,"Proportion of members of developing countries in international organizations, by organization",Percent,UN General Assembly,0.51813
2018,"Proportion of members of developing countries in international organizations, by organization",Percent,UN General Assembly,0.51813
2019,"Proportion of members of developing countries in international organizations, by organization",Percent,UN General Assembly,0.51813
