Year,SERIES,UNIT_MEASURE,Age,Value
2000,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,38.5
2001,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,40.8
2002,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,41.4
2003,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,40.5
2004,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,39.0
2005,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,37.9
2006,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,35.8
2007,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,35.4
2008,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,36.1
2009,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,36.4
2010,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,35.7
2011,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,36.2
2012,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,34.6
2013,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,31.7
2014,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,28.7
2015,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,26.2
2016,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,22.9
2017,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,20.7
2018,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,19.3
2019,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,18.1
2020,Children moderately or severely overweight (number),THOUSANDS,under 5 years old,17.0
2000,Proportion of children moderately or severely overweight,Percent,under 5 years old,16.3
2006,Proportion of children moderately or severely overweight,Percent,under 5 years old,25.7
2012,Proportion of children moderately or severely overweight,Percent,under 5 years old,17.4
2000,Proportion of children moderately or severely wasted,Percent,under 5 years old,7.36389
2006,Proportion of children moderately or severely wasted,Percent,under 5 years old,4.03126
2012,Proportion of children moderately or severely wasted,Percent,under 5 years old,2.34816
