Year,SERIES,UNIT_MEASURE,Value
2010,Consumer Food Price Index,Index,-1.158
2011,Consumer Food Price Index,Index,0.404
2012,Consumer Food Price Index,Index,-0.197
2013,Consumer Food Price Index,Index,-0.415
2014,Consumer Food Price Index,Index,-0.612
2015,Consumer Food Price Index,Index,-0.025
2016,Consumer Food Price Index,Index,-0.056
2017,Consumer Food Price Index,Index,0.281
2018,Consumer Food Price Index,Index,-0.582
2019,Consumer Food Price Index,Index,0.281
2020,Consumer Food Price Index,Index,1.085
