Year,SERIES,UNIT_MEASURE,Sex,Value
2000,Maternal mortality ratio,"Per 100,000 live births",Female,
2001,Maternal mortality ratio,"Per 100,000 live births",Female,
2002,Maternal mortality ratio,"Per 100,000 live births",Female,
2003,Maternal mortality ratio,"Per 100,000 live births",Female,
2004,Maternal mortality ratio,"Per 100,000 live births",Female,
2005,Maternal mortality ratio,"Per 100,000 live births",Female,
2006,Maternal mortality ratio,"Per 100,000 live births",Female,
2007,Maternal mortality ratio,"Per 100,000 live births",Female,
2008,Maternal mortality ratio,"Per 100,000 live births",Female,
2009,Maternal mortality ratio,"Per 100,000 live births",Female,
2010,Maternal mortality ratio,"Per 100,000 live births",Female,7.54
2011,Maternal mortality ratio,"Per 100,000 live births",Female,
2012,Maternal mortality ratio,"Per 100,000 live births",Female,
2013,Maternal mortality ratio,"Per 100,000 live births",Female,
2014,Maternal mortality ratio,"Per 100,000 live births",Female,
2015,Maternal mortality ratio,"Per 100,000 live births",Female,6.66
2016,Maternal mortality ratio,"Per 100,000 live births",Female,6.53
2017,Maternal mortality ratio,"Per 100,000 live births",Female,6.57
2018,Maternal mortality ratio,"Per 100,000 live births",Female,6.81
2019,Maternal mortality ratio,"Per 100,000 live births",Female,6.4
2020,Maternal mortality ratio,"Per 100,000 live births",Female,6.41
2021,Maternal mortality ratio,"Per 100,000 live births",Female,
2022,Maternal mortality ratio,"Per 100,000 live births",Female,
2023,Maternal mortality ratio,"Per 100,000 live births",Female,6.17
