Year,SERIES,UNIT_MEASURE,AGE,Sex,Value
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,4.69667
2001,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,4.7911
2002,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,4.92717
2003,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,4.69667
2004,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.16427
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.40879
2006,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.6915
2007,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.8936
2008,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.92371
2009,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.85432
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.81671
2011,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.91309
2012,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.95229
2013,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.91443
2014,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,5.89975
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,6.0781
2016,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,6.33673
2017,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,6.52126
2018,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,6.49118
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,6.26801
2020,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,6.19734
2021,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,6.32886
2022,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,15+,Both sexes,6.32886
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Female,
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Female,
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Female,
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Female,
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Female,
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Male,
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Male,
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Male,
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Male,
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),LITRES,Y_GE15,Male,
