Year,SERIES,UNIT_MEASURE,Sex,Occupation,Value
2000,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,14.547
2001,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,14.499
2002,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,14.478
2003,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,14.776
2004,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,15.09
2005,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,15.332
2006,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,15.754
2007,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,16.429
2008,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,16.714
2009,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,17.38
2010,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,17.987
2011,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,18.794
2012,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,19.49
2013,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,20.355
2014,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,21.326
2015,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Medical doctors,21.616
2000,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,1.013
2001,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,0.932
2002,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,0.99
2003,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,0.965
2004,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,0.978
2005,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,0.879
2006,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,0.916
2007,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,0.97
2008,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,0.964
2009,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,0.974
2010,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,1.001
2011,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,1.071
2012,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,1.171
2013,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,1.211
2014,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,1.266
2015,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Pharmacists,1.292
2000,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,44.687
2001,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,43.968
2002,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,44.664
2003,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,48.341
2004,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,48.093
2005,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,48.687
2006,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,49.394
2007,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,50.221
2008,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,51.898
2009,"Health worker density, by type of occupation (per 10,000 population)","Per 10,000 population",,Nursing and midwifery personnel,53.096
