Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,"National legislation, policy and financing",75.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,"National legislation, policy and financing",
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,"National legislation, policy and financing",
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,"National legislation, policy and financing",100.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,"National legislation, policy and financing",
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,"National legislation, policy and financing",
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Coordination and National Focal Point communications,40.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Coordination and National Focal Point communications,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Coordination and National Focal Point communications,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Coordination and National Focal Point communications,30.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Coordination and National Focal Point communications,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Coordination and National Focal Point communications,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Surveillance,48.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Surveillance,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Surveillance,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Surveillance,80.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Surveillance,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Surveillance,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Response,32.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Response,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Response,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Response,60.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Response,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Response,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Preparedness,33.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Preparedness,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Preparedness,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Preparedness,45.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Preparedness,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Preparedness,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Risk communication,20.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Risk communication,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Risk communication,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Risk communication,57.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Risk communication,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Risk communication,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Human resources,0.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Human resources,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Human resources,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Human resources,20.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Human resources,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Human resources,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Laboratory,43.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Laboratory,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Laboratory,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Laboratory,49.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Laboratory,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Laboratory,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Points of entry,26.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Points of entry,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Points of entry,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Points of entry,0.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Points of entry,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Points of entry,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Zoonotic events,76.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Zoonotic events,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Zoonotic events,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Zoonotic events,67.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Zoonotic events,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Zoonotic events,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Food safety,100.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Food safety,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Food safety,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Food safety,100.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Food safety,
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Food safety,
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Chemical events,7.0
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Chemical events,
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Chemical events,
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Chemical events,38.0
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity",Percent,Chemical events,
