Year,SERIES,UNIT_MEASURE,Education level,Income or wealth quantile,Sex,Type of skill,Degree of urbanisation,Age,Value
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,All areas,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Female,,All areas,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Male,,All areas,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Rural,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Female,,Rural,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Male,,Rural,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Urban,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Female,,Urban,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Male,,Urban,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,All areas,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Female,,All areas,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Male,,All areas,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Rural,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Female,,Rural,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Male,,Rural,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Urban,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Female,,Urban,,
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Male,,Urban,,
